,Industry,assets,bea_ind_code,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
0,Accommodation,251468386854.07248,7210,Accommodation and food services,-0.08723,0.20319,0.14269,0.21808,0.29773,0.28098,corporate,0.21142,2020
1,Food services and drinking places,170870560831.34879,7220,Accommodation and food services,-0.14691,0.15980,0.09590,0.17517,0.25948,0.24174,corporate,0.44461,2020
2,Administrative and support services,106492097792.69568,5610,Administrative and waste management services,-0.28440,0.07257,-0.00086,0.07629,0.18260,0.16059,corporate,0.73370,2020
3,Waste management and remediation services,69464866307.31482,5620,Administrative and waste management services,-0.27408,0.07126,-0.00017,0.08371,0.18145,0.16117,corporate,0.75884,2020
4,Farms,359601192714.82739,110C,"Agriculture, forestry, fishing, and hunting",-0.19120,0.12556,0.05981,0.14331,0.22930,0.21147,corporate,0.50322,2020
5,"Forestry, fishing, and related activities",34352705962.32426,113F,"Agriculture, forestry, fishing, and hunting",-0.17540,0.14283,0.07702,0.15468,0.24453,0.22590,corporate,0.41382,2020
6,"Performing arts, spectator sports, museums, and related activities",79922779340.27766,711A,"Arts, entertainment, and recreation",-0.31305,0.05877,-0.01727,0.05568,0.17044,0.14683,corporate,0.73011,2020
7,"Amusements, gambling, and recreation industries",103100531850.63574,7130,"Arts, entertainment, and recreation",-0.23050,0.10243,0.03352,0.11505,0.20893,0.18942,corporate,0.63013,2020
8,Construction,167674309864.62842,2300,Construction,-0.18372,0.13260,0.06694,0.14869,0.23551,0.21745,corporate,0.49000,2020
9,Educational services,321852356259.17963,6100,Educational services,-0.14363,0.16772,0.10281,0.17752,0.26647,0.24753,corporate,0.43609,2020
10,Credit intermediation and related activities,742471497270.98792,5220,Finance and insurance,-0.21979,0.10879,0.04045,0.12275,0.21453,0.19524,corporate,0.67760,2020
11,"Securities, commodity contracts, and investments",117288646634.00693,5230,Finance and insurance,-0.13515,0.17155,0.10786,0.18362,0.26984,0.25178,corporate,0.34638,2020
12,Insurance carriers and related activities,242704259872.50821,5240,Finance and insurance,-0.18293,0.13844,0.07168,0.14926,0.24066,0.22142,corporate,0.55133,2020
13,"Funds, trusts, and other financial vehicles",34266597922.83983,5250,Finance and insurance,-0.08287,0.20593,0.14554,0.22122,0.30014,0.28337,corporate,0.25725,2020
14,Ambulatory health care services,187676386627.50763,6210,Health care and social assistance,-0.19107,0.12977,0.06293,0.14340,0.23302,0.21409,corporate,0.60069,2020
15,Hospitals,476870658866.97443,622H,Health care and social assistance,-0.15777,0.15638,0.09090,0.16736,0.25647,0.23755,corporate,0.47882,2020
16,Nursing and residential care facilities,45367688456.41498,6230,Health care and social assistance,-0.15731,0.15480,0.08964,0.16769,0.25508,0.23649,corporate,0.51025,2020
17,Social assistance,32821172821.90539,6240,Health care and social assistance,-0.15999,0.15187,0.08683,0.16576,0.25249,0.23413,corporate,0.50703,2020
18,Publishing industries (including software),205722166039.38168,5110,Information,-0.36322,0.03565,-0.04497,0.01960,0.15007,0.12359,corporate,0.73766,2020
19,Motion picture and sound recording industries,275276728520.28156,5120,Information,-0.47180,-0.03393,-0.12178,-0.05849,0.08874,0.05918,corporate,0.90177,2020
20,Broadcasting and telecommunications,1290508619097.38721,5130,Information,-0.34966,0.02278,-0.05380,0.02935,0.13873,0.11619,corporate,0.90475,2020
21,Information and data processing services,118194411065.82817,5140,Information,-0.41631,0.00028,-0.08373,-0.01858,0.11889,0.09108,corporate,0.86760,2020
22,Management of companies and enterprises,424413204161.25208,5500,Management of companies and enterprises,-0.15346,0.16096,0.09575,0.17045,0.26051,0.24162,corporate,0.41492,2020
23,"Food, beverage, and tobacco products",382744557829.31506,311A,Manufacturing,-0.17092,0.13957,0.07488,0.15790,0.24166,0.22411,corporate,0.51885,2020
24,Textile mills and textile product mills,39763433351.20227,313T,Manufacturing,-0.14859,0.15397,0.09069,0.17396,0.25435,0.23737,corporate,0.51632,2020
25,Apparel and leather and allied products,23802489966.32124,315A,Manufacturing,-0.10377,0.18353,0.12332,0.20619,0.28040,0.26474,corporate,0.34188,2020
26,Wood products,45996624948.83839,3210,Manufacturing,-0.14065,0.16100,0.09806,0.17966,0.26054,0.24356,corporate,0.43442,2020
27,Paper products,129541595783.22841,3220,Manufacturing,-0.22329,0.10581,0.03753,0.12023,0.21190,0.19279,corporate,0.64385,2020
28,Printing and related support activities,49933189821.24265,3230,Manufacturing,-0.23260,0.10056,0.03150,0.11354,0.20728,0.18773,corporate,0.67485,2020
29,Petroleum and coal products,329428097154.64099,3240,Manufacturing,-0.15337,0.15577,0.09164,0.17052,0.25593,0.23817,corporate,0.38115,2020
30,Chemical products,863500092522.49268,3250,Manufacturing,-0.32885,0.04569,-0.03084,0.04431,0.15891,0.13544,corporate,0.74409,2020
31,Plastics and rubber products,110331312312.14606,3260,Manufacturing,-0.21353,0.11227,0.04466,0.12726,0.21759,0.19877,corporate,0.60857,2020
32,Nonmetallic mineral products,116582519995.50418,3270,Manufacturing,-0.16822,0.14503,0.08000,0.15984,0.24647,0.22841,corporate,0.45804,2020
33,Primary metals,186378975799.56097,3310,Manufacturing,-0.17534,0.13510,0.07033,0.15472,0.23771,0.22030,corporate,0.55740,2020
34,Fabricated metal products,185026333664.73990,3320,Manufacturing,-0.19819,0.12072,0.05436,0.13829,0.22505,0.20691,corporate,0.59594,2020
35,Machinery,272319888399.54382,3330,Manufacturing,-0.22447,0.10760,0.03891,0.11939,0.21348,0.19395,corporate,0.59353,2020
36,Computer and electronic products,503974938260.14197,3340,Manufacturing,-0.34558,0.04843,-0.03118,0.03228,0.16133,0.13516,corporate,0.70354,2020
37,"Electrical equipment, appliances, and components",97409347474.36090,3350,Manufacturing,-0.18865,0.13215,0.06568,0.14515,0.23512,0.21640,corporate,0.49355,2020
38,"Motor vehicles, bodies and trailers, and parts",238664334579.08081,336M,Manufacturing,-0.25620,0.09184,0.02032,0.09657,0.19959,0.17835,corporate,0.62734,2020
39,Other transportation equipment,222225359206.36774,336O,Manufacturing,-0.18451,0.13513,0.06894,0.14812,0.23774,0.21913,corporate,0.46844,2020
40,Furniture and related products,27298970228.61856,3370,Manufacturing,-0.16378,0.14571,0.08124,0.16303,0.24707,0.22945,corporate,0.49492,2020
41,Miscellaneous manufacturing,132809342156.87767,338A,Manufacturing,-0.23741,0.10278,0.03270,0.11008,0.20923,0.18874,corporate,0.58142,2020
42,Oil and gas extraction,1206378883391.49341,2110,Mining,-0.34390,0.02110,-0.05428,0.03349,0.13724,0.11579,corporate,0.94300,2020
43,"Mining, except oil and gas",190223523011.70444,2120,Mining,-0.24299,0.09129,0.02200,0.10607,0.19910,0.17976,corporate,0.69094,2020
44,Support activities for mining,120225750260.04312,2130,Mining,-0.32670,0.03335,-0.04102,0.04586,0.14804,0.12690,corporate,0.89496,2020
45,"Other services, except government",227393671623.35632,8100,"Other services, except government",-0.16781,0.14999,0.08382,0.16013,0.25084,0.23161,corporate,0.48808,2020
46,Legal services,20028299848.35870,5411,"Professional, scientific, and technical services",-0.18177,0.13581,0.06963,0.15010,0.23834,0.21971,corporate,0.57993,2020
47,"Miscellaneous professional, scientific, and technical services",249009155858.66895,5412,"Professional, scientific, and technical services",-0.34550,0.04081,-0.03778,0.03234,0.15461,0.12962,corporate,0.77188,2020
48,Computer systems design and related services,42903264706.01630,5415,"Professional, scientific, and technical services",-0.31196,0.06458,-0.01213,0.05647,0.17556,0.15114,corporate,0.71065,2020
49,Real estate,2545926858991.70166,5310,Real estate and rental and leasing,-0.09576,0.20280,0.14104,0.21195,0.29738,0.27960,corporate,0.09624,2020
50,Rental and leasing services and lessors of intangible assets,248115752511.19281,5320,Real estate and rental and leasing,-0.33519,0.02780,-0.04714,0.03976,0.14315,0.12178,corporate,0.91072,2020
51,Retail trade,1608593250069.83716,44RT,Retail trade,-0.09985,0.18995,0.12935,0.20901,0.28605,0.26979,corporate,0.29810,2020
52,Air transportation,190656778827.51108,4810,Transportation and warehousing,-0.28776,0.06064,-0.01156,0.07387,0.17209,0.15162,corporate,0.82949,2020
53,Railroad transportation,331353541688.74603,4820,Transportation and warehousing,-0.36080,0.01013,-0.06634,0.02134,0.12758,0.10567,corporate,0.96231,2020
54,Water transportation,36714023795.72885,4830,Transportation and warehousing,-0.30689,0.04724,-0.02603,0.06011,0.16028,0.13948,corporate,0.86223,2020
55,Truck transportation,108471874448.41913,4840,Transportation and warehousing,-0.28087,0.06554,-0.00616,0.07882,0.17641,0.15615,corporate,0.79222,2020
56,Transit and ground passenger transportation,35034660346.81857,4850,Transportation and warehousing,-0.20205,0.12055,0.05335,0.13551,0.22490,0.20605,corporate,0.64045,2020
57,Pipeline transportation,169678725931.23572,4860,Transportation and warehousing,-0.34322,0.02183,-0.05357,0.03398,0.13789,0.11638,corporate,0.94247,2020
58,Other transportation and support activities,110872018728.69969,487S,Transportation and warehousing,-0.28176,0.06574,-0.00619,0.07818,0.17658,0.15612,corporate,0.79160,2020
59,Warehousing and storage,33575803409.08718,4930,Transportation and warehousing,-0.13137,0.17158,0.10831,0.18634,0.26987,0.25215,corporate,0.42577,2020
60,Utilities,2043224620805.23413,2200,Utilities,-0.35927,0.01079,-0.06554,0.02244,0.12816,0.10634,corporate,0.96598,2020
61,Wholesale trade,973137443869.54004,4200,Wholesale trade,-0.11466,0.17610,0.11530,0.19836,0.27385,0.25801,corporate,0.32937,2020
62,Accommodation,321835229078.42981,7210,Accommodation and food services,-0.16241,0.21700,0.14402,0.28771,0.21700,0.23024,non-corporate,0.27486,2020
63,Food services and drinking places,131618330780.63083,7220,Accommodation and food services,-0.24041,0.16562,0.08761,0.23992,0.16562,0.17951,non-corporate,0.51058,2020
64,Administrative and support services,87779837155.20003,5610,Administrative and waste management services,-0.38884,0.08096,-0.00796,0.14897,0.08096,0.09357,non-corporate,0.72966,2020
65,Waste management and remediation services,45442362954.20710,5620,Administrative and waste management services,-0.39112,0.07064,-0.01732,0.14757,0.07064,0.08516,non-corporate,0.79222,2020
66,Farms,695254770987.64185,110C,"Agriculture, forestry, fishing, and hunting",-0.26337,0.14959,0.07059,0.22585,0.14959,0.16420,non-corporate,0.44654,2020
67,"Forestry, fishing, and related activities",182890160760.91397,113F,"Agriculture, forestry, fishing, and hunting",-0.20855,0.19395,0.11746,0.25944,0.19395,0.20636,non-corporate,0.19165,2020
68,"Performing arts, spectator sports, museums, and related activities",85913620169.68947,711A,"Arts, entertainment, and recreation",-0.43366,0.05922,-0.03345,0.12150,0.05922,0.07064,non-corporate,0.75080,2020
