"","major_industry","etr.2020","etr.2021","etr.2022","etr.2023","etr.2024","etr.2025","etr.2026","etr.2027","etr.2028","etr.2029"
"1","Accommodation and food services","0.235727310950989","0.237606260407935","0.241287700010727","0.245087132180875","0.248877690598777","0.282823157441422","0.286814114711561","0.287187256732318","0.287513765162654","0.287983040048332"
"11","Administrative and waste management services","0.128970319917962","0.148039919925482","0.165131274266651","0.181806321806627","0.197949632469122","0.237027020473488","0.253555889348231","0.25390648832741","0.254234715941052","0.254708031128479"
"21","Agriculture, forestry, fishing, and hunting","0.18146858780453","0.182995982051036","0.193645636177724","0.204205464700494","0.214554223463857","0.259079533551688","0.27022335999789","0.270643550442308","0.270976637827842","0.271447482207892"
"31","Arts, entertainment, and recreation","0.133100139686604","0.135483586442906","0.149458196593728","0.163214290675498","0.176625059041787","0.212782675828937","0.227044334213817","0.227405087468392","0.227729581336194","0.228205813629516"
"41","Construction","0.182753016032143","0.18497956373379","0.193917640645416","0.202837191143144","0.211631004847821","0.254898692987788","0.2645175113526","0.264944327853357","0.265271459456831","0.265752854267254"
"51","Educational services","0.221808166796507","0.226578009988982","0.230158332661136","0.233883082354676","0.237626848936582","0.265917159350336","0.269859611091352","0.270202560426253","0.270526658737416","0.270994855359743"
"61","Finance and insurance","0.204522825865368","0.212716288587753","0.222481851528033","0.232191998468358","0.241723064423373","0.269257795742961","0.278439598511525","0.278723477416598","0.279045323412919","0.279507476003352"
"71","Health care and social assistance","0.200303485673552","0.203396452365587","0.210677515937134","0.218011969958505","0.225279000812849","0.259156112000707","0.266901253353434","0.267263188271164","0.267588084018066","0.268057579831427"
"81","Information","0.100141461801511","0.113415584964057","0.138265899738525","0.16199515026387","0.184539245484352","0.218520531620164","0.239036961185189","0.239291222559413","0.239620516813173","0.240100009519789"
"91","Management of companies and enterprises","0.229854015889339","0.246735329495275","0.250985369540997","0.255397313092586","0.259829940304457","0.281068152130763","0.285524773875071","0.285799210832456","0.286114478925106","0.286573259079523"
"101","Manufacturing","0.177595294188857","0.212344696656039","0.218836891551953","0.225447798866635","0.232029211735643","0.253791718340844","0.260292661265286","0.260561294578726","0.260887445139437","0.261358508554026"
"111","Mining","0.111448316918888","0.114929094988405","0.129851342140856","0.144542474224416","0.158861983230614","0.185325851872733","0.199419283185966","0.199698768191106","0.200032566683396","0.200525538687701"
"121","Other services, except government","0.188196777013453","0.190537844937981","0.195764467989194","0.201092611148224","0.206395101045799","0.242506544172496","0.248417481250664","0.248821310382739","0.249141310382739","0.249617875708885"
"131","Overall","0.196247591085402","0.204104417686673","0.21098916333836","0.217913033073435","0.224757961183762","0.258514560314668","0.265310254636151","0.265667991803601","0.26599711588699","0.266471677928684"
"141","Professional, scientific, and technical services","0.101025349939707","0.143031611622437","0.157473414482123","0.17167345327737","0.185503126226639","0.226256494586056","0.240731424467116","0.241109106403429","0.241443703647576","0.241934573834023"
"151","Real estate and rental and leasing","0.22934579004223","0.23063917041366","0.23213055874229","0.233695114906092","0.235226250230838","0.277096324708721","0.2785472748961","0.279003397389165","0.279329367608753","0.279803217305222"
"161","Retail trade","0.257415801343691","0.260532053652326","0.263719896617529","0.267071606366394","0.270446178929178","0.295164721658095","0.298554274372162","0.298861113367621","0.299179254523446","0.299635536835094"
"171","Transportation and warehousing","0.121938150174795","0.125176520438713","0.141052839293498","0.156617268308282","0.171738445701698","0.200401790041105","0.21531718935392","0.215596061051421","0.215932554368521","0.216418667037254"
"181","Utilities","0.101310796579891","0.10478118733037","0.128460059333372","0.151187387544127","0.172875230352298","0.204994400138712","0.224743643682524","0.224994450228252","0.225331877241174","0.225820333448927"
"191","Wholesale trade","0.247359689858973","0.254469736584954","0.259173139303169","0.264019513559074","0.268857404382433","0.29595745115108","0.30078339422646","0.301087389553862","0.301408782926881","0.301865872986408"
"211","Standard Deviation","0.0768843370504751","0.0730321647383545","0.0647960042933889","0.0576969579847492","0.0519040820206304","0.0448238387489316","0.0376825595882475","0.0377091616919668","0.0377054802773589","0.0376949458680643"
