,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
226,Equipment,4571425640406.57031,-0.57107,0.00000,-0.10574,-0.13219,0.11891,0.07242,corporate,1.00000,2020
226,Equipment,4571425640406.57031,-0.52948,0.00000,-0.10020,-0.10158,0.11873,0.07704,corporate,1.00000,2021
226,Equipment,4571425640406.57031,-0.44511,0.04801,-0.04629,-0.04025,0.16092,0.12227,corporate,0.96286,2022
226,Equipment,4571425640406.57031,-0.36956,0.09162,0.00259,0.01503,0.19942,0.16350,corporate,0.92573,2023
226,Equipment,4571425640406.57031,-0.30152,0.13141,0.04710,0.06479,0.23464,0.20111,corporate,0.88859,2024
226,Equipment,4571425640406.57031,-0.23992,0.16786,0.08781,0.13722,0.27212,0.24503,corporate,0.85145,2025
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.17730,0.30159,0.27629,corporate,0.81432,2026
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.17846,0.30158,0.27651,corporate,0.81432,2027
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.17930,0.30177,0.27683,corporate,0.81432,2028
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.18069,0.30200,0.27729,corporate,0.81432,2029
201,Intellectual Property,1681853383295.78247,-1.01423,-0.13872,-0.28575,-0.45156,-0.00332,-0.07859,corporate,1.00000,2020
201,Intellectual Property,1681853383295.78247,-0.46737,0.08498,-0.01683,-0.05685,0.19362,0.14698,corporate,0.88396,2021
201,Intellectual Property,1681853383295.78247,-0.43908,0.10159,0.00184,-0.03592,0.20814,0.16265,corporate,0.86963,2022
201,Intellectual Property,1681853383295.78247,-0.41186,0.11760,0.01984,-0.01539,0.22231,0.17797,corporate,0.85529,2023
201,Intellectual Property,1681853383295.78247,-0.38564,0.13305,0.03720,0.00434,0.23608,0.19281,corporate,0.84095,2024
201,Intellectual Property,1681853383295.78247,-0.36039,0.14796,0.05396,0.05339,0.25472,0.21701,corporate,0.82662,2025
201,Intellectual Property,1681853383295.78247,-0.33603,0.16238,0.07014,0.07157,0.26749,0.23076,corporate,0.81228,2026
201,Intellectual Property,1681853383295.78247,-0.33603,0.16238,0.07014,0.07288,0.26748,0.23099,corporate,0.81228,2027
201,Intellectual Property,1681853383295.78247,-0.33603,0.16238,0.07014,0.07383,0.26768,0.23133,corporate,0.81228,2028
201,Intellectual Property,1681853383295.78247,-0.33603,0.16238,0.07014,0.07540,0.26793,0.23182,corporate,0.81228,2029
64,Inventories,1540550422356.87988,-0.01362,0.31583,0.25204,0.26954,0.39719,0.37255,corporate,0.00000,2020
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.28724,0.39706,0.37547,corporate,0.00000,2021
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.28762,0.39698,0.37547,corporate,0.00000,2022
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.28827,0.39703,0.37564,corporate,0.00000,2023
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.28890,0.39714,0.37586,corporate,0.00000,2024
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.31138,0.40156,0.38385,corporate,0.00000,2025
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.31229,0.40169,0.38413,corporate,0.00000,2026
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.31326,0.40168,0.38432,corporate,0.00000,2027
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.31397,0.40185,0.38459,corporate,0.00000,2028
64,Inventories,1540550422356.87988,0.01037,0.31583,0.25554,0.31513,0.40205,0.38498,corporate,0.00000,2029
65,Land,3586505862665.65332,-0.13117,0.28000,0.20387,0.18482,0.36561,0.33214,corporate,0.00000,2020
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.20687,0.36549,0.33547,corporate,0.00000,2021
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.20729,0.36540,0.33548,corporate,0.00000,2022
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.20802,0.36544,0.33565,corporate,0.00000,2023
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.20871,0.36557,0.33589,corporate,0.00000,2024
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.23373,0.37022,0.34439,corporate,0.00000,2025
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.23474,0.37035,0.34469,corporate,0.00000,2026
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.23582,0.37035,0.34489,corporate,0.00000,2027
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.23661,0.37052,0.34518,corporate,0.00000,2028
65,Land,3586505862665.65332,-0.10122,0.28000,0.20786,0.23790,0.37073,0.34559,corporate,0.00000,2029
236,Overall,20307631130712.19531,-0.31747,0.15729,0.06864,0.05056,0.25749,0.21870,corporate,0.58850,2020
236,Overall,20307631130712.19531,-0.26051,0.16973,0.08739,0.09214,0.26831,0.23441,corporate,0.57866,2021
236,Overall,20307631130712.19531,-0.23869,0.18316,0.10220,0.10833,0.28004,0.24684,corporate,0.55888,2022
236,Overall,20307631130712.19531,-0.21761,0.19616,0.11654,0.12431,0.29155,0.25907,corporate,0.53910,2023
236,Overall,20307631130712.19531,-0.19723,0.20876,0.13043,0.13972,0.30279,0.27097,corporate,0.51931,2024
236,Overall,20307631130712.19531,-0.17753,0.22096,0.14388,0.18063,0.31857,0.29144,corporate,0.49953,2025
236,Overall,20307631130712.19531,-0.15846,0.23280,0.15693,0.19496,0.32907,0.30256,corporate,0.47974,2026
236,Overall,20307631130712.19531,-0.15846,0.23280,0.15693,0.19610,0.32907,0.30277,corporate,0.47974,2027
236,Overall,20307631130712.19531,-0.15846,0.23280,0.15693,0.19693,0.32925,0.30308,corporate,0.47974,2028
236,Overall,20307631130712.19531,-0.15846,0.23280,0.15693,0.19829,0.32947,0.30352,corporate,0.47974,2029
230,Structures,8927295821987.31055,-0.27919,0.17466,0.08881,0.07815,0.27280,0.23562,corporate,0.63823,2020
230,Structures,8927295821987.31055,-0.24648,0.17466,0.09332,0.10225,0.27266,0.23938,corporate,0.63773,2021
230,Structures,8927295821987.31055,-0.23155,0.18503,0.10443,0.11347,0.28169,0.24871,corporate,0.61444,2022
230,Structures,8927295821987.31055,-0.21698,0.19515,0.11526,0.12477,0.29066,0.25800,corporate,0.59115,2023
230,Structures,8927295821987.31055,-0.20274,0.20501,0.12584,0.13576,0.29949,0.26712,corporate,0.56786,2024
230,Structures,8927295821987.31055,-0.18884,0.21464,0.13616,0.17276,0.31304,0.28505,corporate,0.54458,2025
230,Structures,8927295821987.31055,-0.17525,0.22403,0.14625,0.18330,0.32140,0.29372,corporate,0.52129,2026
230,Structures,8927295821987.31055,-0.17525,0.22403,0.14625,0.18445,0.32140,0.29394,corporate,0.52129,2027
230,Structures,8927295821987.31055,-0.17525,0.22403,0.14625,0.18529,0.32159,0.29425,corporate,0.52129,2028
230,Structures,8927295821987.31055,-0.17525,0.22403,0.14625,0.18667,0.32181,0.29470,corporate,0.52129,2029
231,Equipment,1610127359593.42920,-0.53466,0.00000,-0.09968,0.05825,0.00000,0.01086,non-corporate,1.00000,2020
231,Equipment,1610127359593.42920,-0.52579,0.00000,-0.09847,0.06452,0.00000,0.01208,non-corporate,1.00000,2021
231,Equipment,1610127359593.42920,-0.46031,0.03901,-0.05500,0.10543,0.03901,0.05132,non-corporate,0.96798,2022
