"","major_industry","etr.2021","etr.2022","etr.2023","etr.2024","etr.2025","etr.2026","etr.2027","etr.2028","etr.2029","etr.2030"
"1","Accommodation and food services","0.312925502743839","0.314757903264774","0.318804906939198","0.32281394191487","0.326783843462471","0.350818930754984","0.354987761413554","0.355172735246587","0.3553399542245","0.355789852322569"
"11","Administrative and waste management services","0.200965903682641","0.223239391975515","0.243101897235551","0.262005650024588","0.280181871029626","0.31274683877453","0.330502242355121","0.330667847759212","0.330834177219458","0.331287303578218"
"21","Agriculture, forestry, fishing, and hunting","0.236265888824744","0.237794941525521","0.249676593063408","0.261291135385493","0.272520216599795","0.306683458035128","0.318338480602708","0.318573316368967","0.318753905493004","0.319231513768158"
"31","Arts, entertainment, and recreation","0.198977825348598","0.201465681083218","0.217538906908158","0.23301284492142","0.248011108547287","0.277157603277075","0.29235645415247","0.292541250796644","0.292725822418856","0.293190439274713"
"41","Construction","0.235081480822218","0.237415002575981","0.247463630917361","0.257364497449833","0.266958783808585","0.299736712786857","0.309894608995321","0.310137162289129","0.310324215116924","0.310799794358617"
"51","Educational services","0.3079872053649","0.313067702958786","0.317028517186757","0.320916870616609","0.324882440576188","0.344678697964295","0.348813936194617","0.348974590596028","0.349137377085335","0.349576556819296"
"61","Finance and insurance","0.306918635146357","0.315937613467044","0.327187815465892","0.33793178444341","0.348540972794252","0.369963861007425","0.379968924143617","0.38007235321231","0.380221259571731","0.380640120222663"
"71","Health care and social assistance","0.276070489631486","0.279312865572509","0.28750879991017","0.295541422960357","0.30348170244298","0.328787402961721","0.337018898119217","0.337200325630418","0.337369681664103","0.337819267855603"
"81","Information","0.198356832126617","0.21421144555696","0.244820617632371","0.272914624236177","0.299329080570412","0.330755488912707","0.353782122699796","0.353849602299296","0.354004391275688","0.354425278351832"
"91","Management of companies and enterprises","0.341081053466863","0.359664753049335","0.364355865465658","0.368880194993783","0.373599846329188","0.388406759179464","0.39308269726349","0.393171866128225","0.393322402313525","0.393726986745892"
"101","Manufacturing","0.286966180225413","0.326825125555143","0.334159458376025","0.341215487681123","0.348416396682324","0.364446009739361","0.371426691695621","0.371513281238461","0.371662879866771","0.372079980739403"
"111","Mining","0.198805977225248","0.202505012759503","0.220961998759153","0.238459474004319","0.255549503508044","0.278798360249309","0.29495071195073","0.295044302396189","0.295213903570871","0.295666141487303"
"121","Other services, except government","0.246725651406946","0.249181156506675","0.255004344884034","0.260830450328779","0.266533244247917","0.292729903849004","0.298941448970299","0.299168712776229","0.299357800711539","0.29983001929914"
"131","Overall","0.274738487150654","0.283528927123823","0.291373600022323","0.298993929714363","0.306502653655228","0.331497539632208","0.338864766951679","0.339032504119128","0.33920443841099","0.339654620869631"
"141","Professional, scientific, and technical services","0.165906397646562","0.215247998143092","0.231923412348509","0.247959692943943","0.263459878503038","0.296528187973858","0.312057984737214","0.312246965545687","0.312425990076501","0.312894359958275"
"151","Real estate and rental and leasing","0.278854615108668","0.280157570564787","0.281778570554652","0.283458477756648","0.284920758280568","0.313804581394055","0.315334964634523","0.315599552685398","0.315784945563171","0.316268886829617"
"161","Retail trade","0.361258724660523","0.364353823904105","0.367828098276267","0.371187352799713","0.374696647020591","0.391749950185282","0.395265785210998","0.395381769332025","0.395528051643674","0.395946043704187"
"171","Transportation and warehousing","0.208618677474309","0.212011655204343","0.231349679047122","0.249648401371627","0.26741881210874","0.292358289707645","0.30915050006981","0.309254656589199","0.309422454727852","0.309868951819875"
"181","Utilities","0.194907598850483","0.198542106380287","0.228540423989624","0.256195347314676","0.282349241444897","0.312817218393294","0.335662152011637","0.335725531544442","0.335880162921182","0.336313765103092"
"191","Wholesale trade","0.349750475666235","0.357287674048962","0.362452654931849","0.367468721201665","0.372569645159931","0.391933789199698","0.396989793872296","0.397109547483425","0.397256637542952","0.397669362691771"
"211","Standard Deviation","0.117211224796202","0.120146724619064","0.117331457748388","0.115768586411693","0.115937073223351","0.0976163693357051","0.0980062543696147","0.0977936219053949","0.0977383373986299","0.0976475139572276"
