CIT_rate,DeprecSystem_3yr,BonusDeprec_3yr,DeprecSystem_5yr,BonusDeprec_5yr,DeprecSystem_7yr,BonusDeprec_7yr,DeprecSystem_10yr,BonusDeprec_10yr,DeprecSystem_15yr,BonusDeprec_15yr,DeprecSystem_20yr,BonusDeprec_20yr,DeprecSystem_25yr,DeprecSystem_27_5yr,DeprecSystem_39yr,interest_deduct_haircut_corp,interest_deduct_haircut_PT,tau_nc,tau_div,tau_int,tau_scg,tau_lcg,tau_xcg,tau_td,tau_w,Y_lcg,inv_tax_credit,ip_amortization,omega_xcg,omega_lcg,omega_scg
0.28,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,ADS,GDS,0.16,0.04,0.240686238,0.282502462,0.343014603,0.365035628,0.3600898,0.360116917,0.210938495,0,8,0.0217,FALSE,0,0.965,0.035
0.28,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,ADS,GDS,0.2,0.05,0.240635827,0.28140962,0.34319655,0.364260574,0.358755678,0.358667602,0.211744761,0,8,0.0217,TRUE,0,0.965,0.035
0.28,GDS,0.8,GDS,0.8,GDS,0.8,GDS,0.8,GDS,0.8,GDS,0.8,GDS,ADS,GDS,0.2,0.05,0.241594145,0.281802073,0.343564472,0.363580965,0.358027211,0.357494209,0.212075422,0,8,0.0217,TRUE,0,0.965,0.035
0.28,GDS,0.6,GDS,0.6,GDS,0.6,GDS,0.6,GDS,0.6,GDS,0.6,GDS,ADS,GDS,0.2,0.05,0.24258951,0.281207627,0.344380042,0.363187461,0.356981621,0.356712595,0.212911244,0,8,0.0217,TRUE,0,0.965,0.035
0.28,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,ADS,GDS,0.2,0.05,0.243184654,0.281841476,0.344811772,0.362866388,0.356815535,0.356468843,0.213289372,0,8,0.0217,TRUE,0,0.965,0.035
0.28,GDS,0.2,GDS,0.2,GDS,0.2,GDS,0.2,GDS,0.2,GDS,0.2,GDS,ADS,GDS,0.2,0.05,0.291243552,0.283077728,0.35780518,0.372667152,0.358904875,0.356157883,0.246587873,0,8,0.0217,TRUE,0,0.965,0.035
0.28,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,ADS,GDS,0.2,0.05,0.29178758,0.283119115,0.358488206,0.372876888,0.358732836,0.355929769,0.247564726,0,8,0.0217,TRUE,0,0.965,0.035
0.28,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,ADS,GDS,0.2,0.05,0.291943612,0.282551953,0.359178013,0.372643624,0.358578296,0.35578293,0.248903941,0,8,0.0217,TRUE,0,0.965,0.035
0.28,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,ADS,GDS,0.2,0.05,0.291917889,0.28255322,0.359849754,0.372677772,0.35839224,0.355723626,0.250067665,0,8,0.0217,TRUE,0,0.965,0.035
0.28,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,ADS,GDS,0.2,0.05,0.292113997,0.283026446,0.361090026,0.372495844,0.358398282,0.355647452,0.251466816,0,8,0.0217,TRUE,0,0.965,0.035
