CIT_rate,DeprecSystem_3yr,BonusDeprec_3yr,DeprecSystem_5yr,BonusDeprec_5yr,DeprecSystem_7yr,BonusDeprec_7yr,DeprecSystem_10yr,BonusDeprec_10yr,DeprecSystem_15yr,BonusDeprec_15yr,DeprecSystem_20yr,BonusDeprec_20yr,DeprecSystem_25yr,DeprecSystem_27_5yr,DeprecSystem_39yr,interest_deduct_haircut_corp,interest_deduct_haircut_PT,tau_nc,tau_div,tau_int,tau_scg,tau_lcg,tau_xcg,tau_td,tau_w,Y_lcg,inv_tax_credit,ip_amortization
0.21,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,ADS,GDS,0.16,0.04,0.215948476,0.186942622,0.307541268,0.332194641,0.214666235,0,0.207916795,0,8,0.0217,FALSE
0.21,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,ADS,GDS,0.2,0.05,0.215965296,0.186686361,0.308018161,0.332200671,0.213984284,0,0.208772877,0,8,0.0217,TRUE
0.21,GDS,0.8,GDS,0.8,GDS,0.8,GDS,0.8,GDS,0.8,GDS,0.8,GDS,ADS,GDS,0.2,0.05,0.216883208,0.186760842,0.308413596,0.331033234,0.213227756,0,0.209049828,0,8,0.0217,TRUE
0.21,GDS,0.6,GDS,0.6,GDS,0.6,GDS,0.6,GDS,0.6,GDS,0.6,GDS,ADS,GDS,0.2,0.05,0.217723416,0.187106484,0.309133442,0.330180822,0.213039473,0,0.209945416,0,8,0.0217,TRUE
0.21,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,ADS,GDS,0.2,0.05,0.218434011,0.187712786,0.310039367,0.329926013,0.213019926,0,0.210295435,0,8,0.0217,TRUE
0.21,GDS,0.2,GDS,0.2,GDS,0.2,GDS,0.2,GDS,0.2,GDS,0.2,GDS,ADS,GDS,0.2,0.05,0.282545141,0.197721565,0.336513497,0.350968657,0.218960737,0,0.245390415,0,8,0.0217,TRUE
0.21,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,ADS,GDS,0.2,0.05,0.282899609,0.19814632,0.337474375,0.351307486,0.218943802,0,0.246403304,0,8,0.0217,TRUE
0.21,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,ADS,GDS,0.2,0.05,0.283261277,0.197916491,0.338466094,0.351365148,0.218991448,0,0.247673556,0,8,0.0217,TRUE
0.21,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,ADS,GDS,0.2,0.05,0.283463562,0.19843788,0.339142941,0.351199958,0.219083467,0,0.248883562,0,8,0.0217,TRUE
0.21,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,ADS,GDS,0.2,0.05,0.283689126,0.19895129,0.340348011,0.351473776,0.219337197,0,0.250314884,0,8,0.0217,TRUE
