CIT_rate,DeprecSystem_3yr,BonusDeprec_3yr,DeprecSystem_5yr,BonusDeprec_5yr,DeprecSystem_7yr,BonusDeprec_7yr,DeprecSystem_10yr,BonusDeprec_10yr,DeprecSystem_15yr,BonusDeprec_15yr,DeprecSystem_20yr,BonusDeprec_20yr,DeprecSystem_25yr,DeprecSystem_27_5yr,DeprecSystem_39yr,interest_deduct_haircut_corp,interest_deduct_haircut_PT,tau_nc,tau_div,tau_int,tau_scg,tau_lcg,tau_xcg,tau_td,tau_w,Y_lcg,inv_tax_credit,ip_amortization
0.28,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,ADS,GDS,0.16,0.04,0.249648611,0.285332831,0.345244257,0.369212794,0.360116917,0.360116917,0.21134461,0,8,0.0217,FALSE
0.28,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,ADS,GDS,0.2,0.05,0.249893164,0.283534724,0.345278801,0.367622775,0.358667602,0.358667602,0.211991154,0,8,0.0217,TRUE
0.28,GDS,0.8,GDS,0.8,GDS,0.8,GDS,0.8,GDS,0.8,GDS,0.8,GDS,ADS,GDS,0.2,0.05,0.250842215,0.284149547,0.345719827,0.367676158,0.357494209,0.357494209,0.212302646,0,8,0.0217,TRUE
0.28,GDS,0.6,GDS,0.6,GDS,0.6,GDS,0.6,GDS,0.6,GDS,0.6,GDS,ADS,GDS,0.2,0.05,0.251414944,0.283794481,0.346619123,0.366545017,0.356712595,0.356712595,0.213183048,0,8,0.0217,TRUE
0.28,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,ADS,GDS,0.2,0.05,0.251921695,0.284215838,0.346808933,0.365811176,0.356468843,0.356468843,0.213687697,0,8,0.0217,TRUE
0.28,GDS,0.2,GDS,0.2,GDS,0.2,GDS,0.2,GDS,0.2,GDS,0.2,GDS,ADS,GDS,0.2,0.05,0.28887272,0.282373481,0.357648555,0.371491761,0.356157883,0.356157883,0.246485329,0,8,0.0217,TRUE
0.28,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,ADS,GDS,0.2,0.05,0.289228455,0.282446068,0.35838848,0.371751347,0.355929769,0.355929769,0.247465402,0,8,0.0217,TRUE
0.28,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,ADS,GDS,0.2,0.05,0.289458648,0.281866973,0.359256215,0.371713293,0.35578293,0.35578293,0.248729475,0,8,0.0217,TRUE
0.28,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,ADS,GDS,0.2,0.05,0.289607751,0.281946243,0.360002285,0.371714695,0.355723626,0.355723626,0.249917696,0,8,0.0217,TRUE
0.28,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,ADS,GDS,0.2,0.05,0.289774624,0.282307714,0.360993572,0.371650356,0.355647452,0.355647452,0.251313241,0,8,0.0217,TRUE
