,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
226,Equipment,4571425640406.57031,-0.57107,0.00000,-0.10574,-0.08991,0.18158,0.13131,corporate,1.00000,2020
226,Equipment,4571425640406.57031,-0.57107,0.00000,-0.10574,-0.08950,0.18090,0.13083,corporate,1.00000,2021
226,Equipment,4571425640406.57031,-0.49003,0.00000,-0.09471,-0.03386,0.18026,0.13887,corporate,1.00000,2022
226,Equipment,4571425640406.57031,-0.44511,0.04801,-0.04629,-0.00211,0.21944,0.17694,corporate,0.96286,2023
226,Equipment,4571425640406.57031,-0.36956,0.09162,0.00259,0.05025,0.25470,0.21498,corporate,0.92573,2024
226,Equipment,4571425640406.57031,-0.30152,0.13141,0.04710,0.09877,0.28738,0.25030,corporate,0.88859,2025
226,Equipment,4571425640406.57031,-0.23992,0.16786,0.08781,0.15784,0.31692,0.28521,corporate,0.85145,2026
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.19612,0.34430,0.31443,corporate,0.81432,2027
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.19694,0.34443,0.31469,corporate,0.81432,2028
226,Equipment,4571425640406.57031,-0.18389,0.20137,0.12518,0.19802,0.34470,0.31512,corporate,0.81432,2029
201,Intellectual Property,1681853383295.78247,-1.01423,-0.13872,-0.28575,-0.39735,0.06804,-0.01011,corporate,1.00000,2020
201,Intellectual Property,1681853383295.78247,-1.01423,-0.13872,-0.28575,-0.39682,0.06727,-0.01066,corporate,1.00000,2021
201,Intellectual Property,1681853383295.78247,-0.42635,0.08498,-0.01146,0.01032,0.24993,0.20436,corporate,0.88362,2022
201,Intellectual Property,1681853383295.78247,-0.43908,0.10159,0.00184,0.00207,0.26337,0.21480,corporate,0.86963,2023
201,Intellectual Property,1681853383295.78247,-0.41186,0.11760,0.01984,0.02092,0.27601,0.22856,corporate,0.85529,2024
201,Intellectual Property,1681853383295.78247,-0.38564,0.13305,0.03720,0.04052,0.28873,0.24251,corporate,0.84095,2025
201,Intellectual Property,1681853383295.78247,-0.36039,0.14796,0.05396,0.07602,0.30059,0.25868,corporate,0.82662,2026
