,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,Prepackaged software,0.00000,ENS1,0.00000,0.13612,0.20090,0.18017,Equipment,0.20485,0.35000,0.33981,0.61212,0.55420,0.56729,Computers and Software,0.00582,0.03123,0.02310,corporate,0.02369,0.05302,0.04363,0.00582,0.03123,0.02310,-0.04341,-0.09539,-0.07939
1,Custom software,0.00000,ENS2,0.00000,0.13612,0.20090,0.18017,Equipment,0.20485,0.35000,0.33981,0.61212,0.55420,0.56729,Computers and Software,0.00582,0.03123,0.02310,corporate,0.02369,0.05302,0.04363,0.00582,0.03123,0.02310,-0.07032,-0.14948,-0.12566
2,Mainframes,0.00000,EP1A,0.00000,0.13612,0.20090,0.18017,Equipment,0.20485,0.35000,0.33981,0.61212,0.55420,0.56729,Computers and Software,0.00582,0.03123,0.02310,corporate,0.02369,0.05302,0.04363,0.00582,0.03123,0.02310,-0.05112,-0.11126,-0.09286
3,PCs,0.00000,EP1B,0.00000,0.13612,0.20090,0.18017,Equipment,0.20485,0.35000,0.33981,0.61212,0.55420,0.56729,Computers and Software,0.00582,0.03123,0.02310,corporate,0.02369,0.05302,0.04363,0.00582,0.03123,0.02310,-0.05112,-0.11126,-0.09286
4,DASDs,0.00000,EP1C,0.00000,0.13612,0.20090,0.18017,Equipment,0.20485,0.35000,0.33981,0.61212,0.55420,0.56729,Computers and Software,0.00582,0.03123,0.02310,corporate,0.02369,0.05302,0.04363,0.00582,0.03123,0.02310,-0.05112,-0.11126,-0.09286
5,Printers,0.00000,EP1D,0.00000,0.13612,0.20090,0.18017,Equipment,0.20485,0.35000,0.33981,0.61212,0.55420,0.56729,Computers and Software,0.00582,0.03123,0.02310,corporate,0.02369,0.05302,0.04363,0.00582,0.03123,0.02310,-0.05112,-0.11126,-0.09286
6,Terminals,0.00000,EP1E,0.00000,0.13612,0.20090,0.18017,Equipment,0.20485,0.35000,0.33981,0.61212,0.55420,0.56729,Computers and Software,0.00582,0.03123,0.02310,corporate,0.02369,0.05302,0.04363,0.00582,0.03123,0.02310,-0.05112,-0.11126,-0.09286
7,Tape drives,0.00000,EP1F,0.00000,0.13612,0.20090,0.18017,Equipment,0.20485,0.35000,0.33981,0.61212,0.55420,0.56729,Computers and Software,0.00582,0.03123,0.02310,corporate,0.02369,0.05302,0.04363,0.00582,0.03123,0.02310,-0.05112,-0.11126,-0.09286
8,Storage devices,0.00000,EP1G,0.00000,0.13612,0.20090,0.18017,Equipment,0.20485,0.35000,0.33981,0.61212,0.55420,0.56729,Computers and Software,0.00582,0.03123,0.02310,corporate,0.02369,0.05302,0.04363,0.00582,0.03123,0.02310,-0.05112,-0.11126,-0.09286
9,System integrators,0.00000,EP1H,0.00000,0.13612,0.20090,0.18017,Equipment,0.20485,0.35000,0.33981,0.61212,0.55420,0.56729,Computers and Software,0.00582,0.03123,0.02310,corporate,0.02369,0.05302,0.04363,0.00582,0.03123,0.02310,-0.05112,-0.11126,-0.09286
