,asset_name,assets,delta,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,ucc_d,ucc_e,ucc_mix,z_mix,year
226,Equipment,4571425640406.57031,0.14538,-0.37479,0.00000,-0.07726,0.00925,0.11891,0.09630,corporate,0.17739,0.20338,0.19506,1.00000,2020
226,Equipment,4571425640406.57031,0.14538,-0.35069,0.00000,-0.07331,0.02719,0.11873,0.09959,corporate,0.17796,0.20338,0.19525,1.00000,2021
226,Equipment,4571425640406.57031,0.14538,-0.35069,0.00000,-0.07331,0.02771,0.11860,0.09960,corporate,0.17796,0.20338,0.19525,1.00000,2022
226,Equipment,4571425640406.57031,0.14538,-0.35069,0.00000,-0.07331,0.02861,0.11867,0.09984,corporate,0.17796,0.20338,0.19525,1.00000,2023
226,Equipment,4571425640406.57031,0.14538,-0.35069,0.00000,-0.07331,0.02946,0.11885,0.10016,corporate,0.17796,0.20338,0.19525,1.00000,2024
226,Equipment,4571425640406.57031,0.14538,-0.35069,0.00000,-0.07331,0.06014,0.12530,0.11168,corporate,0.17796,0.20338,0.19525,1.00000,2025
226,Equipment,4571425640406.57031,0.14538,-0.35069,0.00000,-0.07331,0.06138,0.12548,0.11208,corporate,0.17796,0.20338,0.19525,1.00000,2026
226,Equipment,4571425640406.57031,0.14538,-0.35069,0.00000,-0.07331,0.06271,0.12548,0.11236,corporate,0.17796,0.20338,0.19525,1.00000,2027
226,Equipment,4571425640406.57031,0.14538,-0.35069,0.00000,-0.07331,0.06367,0.12572,0.11275,corporate,0.17796,0.20338,0.19525,1.00000,2028
226,Equipment,4571425640406.57031,0.14538,-0.35069,0.00000,-0.07331,0.06526,0.12601,0.11331,corporate,0.17796,0.20338,0.19525,1.00000,2029
201,Intellectual Property,1681853383295.78247,0.17644,-0.67433,-0.12490,-0.23119,-0.20661,0.00886,-0.03282,corporate,0.20272,0.22800,0.21991,1.00000,2020
201,Intellectual Property,1681853383295.78247,0.17644,-0.36136,0.03450,-0.04615,0.01951,0.14913,0.12238,corporate,0.20876,0.23651,0.22760,0.88224,2021
201,Intellectual Property,1681853383295.78247,0.17644,-0.36136,0.03450,-0.04615,0.02003,0.14901,0.12239,corporate,0.20876,0.23651,0.22760,0.88224,2022
201,Intellectual Property,1681853383295.78247,0.17644,-0.36136,0.03450,-0.04615,0.02093,0.14907,0.12262,corporate,0.20876,0.23651,0.22760,0.88224,2023
201,Intellectual Property,1681853383295.78247,0.17644,-0.36136,0.03450,-0.04615,0.02179,0.14924,0.12293,corporate,0.20876,0.23651,0.22760,0.88224,2024
201,Intellectual Property,1681853383295.78247,0.17644,-0.36136,0.03450,-0.04615,0.05272,0.15547,0.13416,corporate,0.20876,0.23651,0.22760,0.88224,2025
201,Intellectual Property,1681853383295.78247,0.17644,-0.36136,0.03450,-0.04615,0.05397,0.15565,0.13455,corporate,0.20876,0.23651,0.22760,0.88224,2026
201,Intellectual Property,1681853383295.78247,0.17644,-0.36136,0.03450,-0.04615,0.05530,0.15565,0.13482,corporate,0.20876,0.23651,0.22760,0.88224,2027
201,Intellectual Property,1681853383295.78247,0.17644,-0.36136,0.03450,-0.04615,0.05628,0.15588,0.13520,corporate,0.20876,0.23651,0.22760,0.88224,2028
201,Intellectual Property,1681853383295.78247,0.17644,-0.36136,0.03450,-0.04615,0.05787,0.15616,0.13575,corporate,0.20876,0.23651,0.22760,0.88224,2029
64,Inventories,1540550422356.87988,0.00000,-0.00948,0.24012,0.18735,0.27251,0.33048,0.31829,corporate,0.04359,0.07633,0.06586,0.00000,2020
64,Inventories,1540550422356.87988,0.00000,0.00693,0.24012,0.19018,0.28476,0.33034,0.32064,corporate,0.04431,0.07633,0.06609,0.00000,2021
64,Inventories,1540550422356.87988,0.00000,0.00693,0.24012,0.19018,0.28514,0.33025,0.32065,corporate,0.04431,0.07633,0.06609,0.00000,2022
