CIT_rate,DeprecSystem_3yr,BonusDeprec_3yr,DeprecSystem_5yr,BonusDeprec_5yr,DeprecSystem_7yr,BonusDeprec_7yr,DeprecSystem_10yr,BonusDeprec_10yr,DeprecSystem_15yr,BonusDeprec_15yr,DeprecSystem_20yr,BonusDeprec_20yr,DeprecSystem_25yr,DeprecSystem_27_5yr,DeprecSystem_39yr,interest_deduct_haircut_corp,interest_deduct_haircut_PT,tau_nc,tau_div,tau_int,tau_scg,tau_lcg,tau_xcg,tau_td,tau_w,Y_lcg
0.35,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,GDS,GDS,0.28,0.28,0.229488683,0.171992436,0.192312917,0.292212205,0.219834761,0,0.220364712,0,8
0.35,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,GDS,GDS,0.28,0.28,0.230763615,0.17238258,0.192480336,0.291926068,0.219861737,0,0.220168086,0,8
0.35,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,1,GDS,GDS,GDS,0.31,0.31,0.231840714,0.172568843,0.192617684,0.291622195,0.219663635,0,0.22022595,0,8
0.35,GDS,0.8,GDS,0.8,GDS,0.8,GDS,0.8,GDS,0.8,GDS,0.8,GDS,GDS,GDS,0.31,0.31,0.232605395,0.172477462,0.192834314,0.291694315,0.219527864,0,0.220518384,0,8
0.35,GDS,0.6,GDS,0.6,GDS,0.6,GDS,0.6,GDS,0.6,GDS,0.6,GDS,GDS,GDS,0.31,0.31,0.233918997,0.172655047,0.193030555,0.29124379,0.219394461,0,0.220672518,0,8
0.35,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,GDS,GDS,0.31,0.31,0.2347054,0.173087925,0.193236529,0.290531905,0.219332256,0,0.22102402,0,8
0.35,GDS,0.2,GDS,0.2,GDS,0.2,GDS,0.2,GDS,0.2,GDS,0.2,GDS,GDS,GDS,0.31,0.31,0.283197717,0.176292333,0.204057147,0.332962503,0.224329072,0,0.253641683,0,8
0.35,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,GDS,GDS,0.31,0.31,0.283148264,0.176174992,0.204069439,0.333437789,0.224276562,0,0.253935609,0,8
0.35,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,GDS,GDS,0.31,0.31,0.283160115,0.176161592,0.204118708,0.333878331,0.223945016,0,0.254637374,0,8
0.35,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,0,GDS,GDS,GDS,0.31,0.31,0.283287319,0.176339402,0.204168261,0.33410461,0.224153842,0,0.255115434,0,8
