,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,reform
64,Inventories,1540550422356.87988,0.00693,0.24012,0.19018,0.28832,0.32690,0.31871,corporate,Baseline
65,Land,3586505862665.65332,-0.06704,0.21000,0.15208,0.23531,0.30022,0.28665,corporate,Baseline
163,Inventories,903249577643.12000,-0.07724,0.23641,0.17415,0.34389,0.23641,0.25782,non-corporate,Baseline
164,Land,9085894137334.34766,-0.16114,0.20282,0.13234,0.29279,0.20282,0.22025,non-corporate,Baseline
201,Intellectual Property,1681853383295.78247,-0.35069,0.00000,-0.07331,0.03204,0.11420,0.09703,corporate,Baseline
215,Intellectual Property,387169616704.21753,-0.45657,-0.00000,-0.08842,0.11285,-0.00000,0.02185,non-corporate,Baseline
226,Equipment,4571425640406.57031,-0.35069,0.00000,-0.07331,0.03204,0.11420,0.09703,corporate,Baseline
230,Structures,8927295821987.31055,-0.17284,0.12613,0.06289,0.15949,0.22593,0.21161,corporate,Baseline
231,Equipment,1610127359593.42920,-0.45657,0.00000,-0.08842,0.11285,0.00000,0.02185,non-corporate,Baseline
235,Structures,5050148178012.68848,-0.21640,0.16034,0.08648,0.25913,0.16034,0.17903,non-corporate,Baseline
236,Overall,20307631130712.19531,-0.18385,0.11845,0.05478,0.15160,0.21913,0.20479,corporate,Baseline
237,Overall,17036588869287.80469,-0.20091,0.17267,0.09996,0.26857,0.17267,0.19115,non-corporate,Baseline
64,Inventories,1540550422356.87988,0.01467,0.38952,0.32190,0.74075,0.71341,0.71847,corporate,Warren
65,Land,3586505862665.65332,-0.14583,0.35000,0.26650,0.69852,0.69485,0.69547,corporate,Warren
163,Inventories,903249577643.12000,-0.13653,0.37935,0.24267,0.81284,0.83523,0.82930,non-corporate,Warren
164,Land,9085894137334.34766,-0.30508,0.30000,0.14180,0.78508,0.81416,0.80656,non-corporate,Warren
201,Intellectual Property,1681853383295.78247,-0.14583,0.35000,0.26650,0.69852,0.69485,0.69547,corporate,Warren
215,Intellectual Property,387169616704.21753,-0.30508,0.30000,0.14180,0.78508,0.81416,0.80656,non-corporate,Warren
226,Equipment,4571425640406.57031,-0.14583,0.35000,0.26650,0.69852,0.69485,0.69547,corporate,Warren
230,Structures,8927295821987.31055,-0.14583,0.35000,0.26650,0.69852,0.69485,0.69547,corporate,Warren
231,Equipment,1610127359593.42920,-0.30508,0.30000,0.14180,0.78508,0.81416,0.80656,non-corporate,Warren
235,Structures,5050148178012.68848,-0.30508,0.30000,0.14180,0.78508,0.81416,0.80656,non-corporate,Warren
236,Overall,20307631130712.19531,-0.13185,0.35318,0.27102,0.70220,0.69634,0.69735,corporate,Warren
237,Overall,17036588869287.80469,-0.29490,0.30471,0.14781,0.78676,0.81542,0.80792,non-corporate,Warren
64,Inventories,1540550422356.87988,0.01467,0.38952,0.32190,0.69400,0.68856,0.68967,corporate,Biden
65,Land,3586505862665.65332,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,corporate,Biden
163,Inventories,903249577643.12000,-0.09746,0.30532,0.19347,0.74934,0.77487,0.76778,non-corporate,Biden
164,Land,9085894137334.34766,-0.20809,0.24000,0.11612,0.72407,0.75370,0.74551,non-corporate,Biden
201,Intellectual Property,1681853383295.78247,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,corporate,Biden
215,Intellectual Property,387169616704.21753,-0.20809,0.24000,0.11612,0.72407,0.75370,0.74551,non-corporate,Biden
226,Equipment,4571425640406.57031,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,corporate,Biden
230,Structures,8927295821987.31055,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,corporate,Biden
231,Equipment,1610127359593.42920,-0.20809,0.24000,0.11612,0.72407,0.75370,0.74551,non-corporate,Biden
235,Structures,5050148178012.68848,-0.20809,0.24000,0.11612,0.72407,0.75370,0.74551,non-corporate,Biden
236,Overall,20307631130712.19531,-0.13185,0.35318,0.27102,0.64850,0.67002,0.66638,corporate,Biden
237,Overall,17036588869287.80469,-0.20167,0.24377,0.12059,0.72554,0.75493,0.74680,non-corporate,Biden
64,Inventories,1540550422356.87988,0.01467,0.38952,0.32190,0.69400,0.68856,0.68967,corporate,Sanders
65,Land,3586505862665.65332,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,corporate,Sanders
163,Inventories,903249577643.12000,-0.09746,0.30532,0.19347,0.74934,0.77487,0.76778,non-corporate,Sanders
164,Land,9085894137334.34766,-0.20809,0.24000,0.11612,0.72407,0.75370,0.74551,non-corporate,Sanders
201,Intellectual Property,1681853383295.78247,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,corporate,Sanders
215,Intellectual Property,387169616704.21753,-0.20809,0.24000,0.11612,0.72407,0.75370,0.74551,non-corporate,Sanders
226,Equipment,4571425640406.57031,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,corporate,Sanders
230,Structures,8927295821987.31055,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,corporate,Sanders
231,Equipment,1610127359593.42920,-0.20809,0.24000,0.11612,0.72407,0.75370,0.74551,non-corporate,Sanders
235,Structures,5050148178012.68848,-0.20809,0.24000,0.11612,0.72407,0.75370,0.74551,non-corporate,Sanders
236,Overall,20307631130712.19531,-0.13185,0.35318,0.27102,0.64850,0.67002,0.66638,corporate,Sanders
237,Overall,17036588869287.80469,-0.20167,0.24377,0.12059,0.72554,0.75493,0.74680,non-corporate,Sanders
64,Inventories,1540550422356.87988,0.01467,0.38952,0.32190,0.69400,0.68856,0.68967,corporate,Pete
65,Land,3586505862665.65332,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,corporate,Pete
163,Inventories,903249577643.12000,-0.09746,0.30532,0.19347,0.74934,0.77487,0.76778,non-corporate,Pete
164,Land,9085894137334.34766,-0.20809,0.24000,0.11612,0.72407,0.75370,0.74551,non-corporate,Pete
201,Intellectual Property,1681853383295.78247,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,corporate,Pete
215,Intellectual Property,387169616704.21753,-0.20809,0.24000,0.11612,0.72407,0.75370,0.74551,non-corporate,Pete
226,Equipment,4571425640406.57031,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,corporate,Pete
230,Structures,8927295821987.31055,-0.14583,0.35000,0.26650,0.64416,0.66840,0.66432,corporate,Pete
231,Equipment,1610127359593.42920,-0.20809,0.24000,0.11612,0.72407,0.75370,0.74551,non-corporate,Pete
235,Structures,5050148178012.68848,-0.20809,0.24000,0.11612,0.72407,0.75370,0.74551,non-corporate,Pete
236,Overall,20307631130712.19531,-0.13185,0.35318,0.27102,0.64850,0.67002,0.66638,corporate,Pete
237,Overall,17036588869287.80469,-0.20167,0.24377,0.12059,0.72554,0.75493,0.74680,non-corporate,Pete
