,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,year
226,Equipment,4571425640406.57031,-0.37479,0.00000,-0.07726,0.01128,0.11865,0.09651,corporate,2020
226,Equipment,4571425640406.57031,-0.37479,0.00000,-0.07726,0.01209,0.11836,0.09645,corporate,2021
226,Equipment,4571425640406.57031,-0.32741,0.00000,-0.06939,0.04685,0.11811,0.10301,corporate,2022
226,Equipment,4571425640406.57031,-0.30071,0.03332,-0.03692,0.06639,0.14735,0.13020,corporate,2023
226,Equipment,4571425640406.57031,-0.25431,0.06449,-0.00292,0.10015,0.17463,0.15865,corporate,2024
226,Equipment,4571425640406.57031,-0.21110,0.09372,0.02892,0.13196,0.20039,0.18551,corporate,2025
226,Equipment,4571425640406.57031,-0.17077,0.12117,0.05880,0.18767,0.22975,0.22030,corporate,2026
226,Equipment,4571425640406.57031,-0.13304,0.14701,0.08690,0.21419,0.25241,0.24366,corporate,2027
226,Equipment,4571425640406.57031,-0.13304,0.14701,0.08690,0.21497,0.25261,0.24398,corporate,2028
226,Equipment,4571425640406.57031,-0.13304,0.14701,0.08690,0.21588,0.25299,0.24447,corporate,2029
201,Intellectual Property,1681853383295.78247,-0.67433,-0.12490,-0.23119,-0.20415,0.00857,-0.03258,corporate,2020
201,Intellectual Property,1681853383295.78247,-0.67433,-0.12490,-0.23119,-0.20315,0.00824,-0.03265,corporate,2021
201,Intellectual Property,1681853383295.78247,-0.33573,0.03450,-0.04208,0.04087,0.14853,0.12591,corporate,2022
201,Intellectual Property,1681853383295.78247,-0.34248,0.04720,-0.03224,0.03641,0.15959,0.13413,corporate,2023
201,Intellectual Property,1681853383295.78247,-0.32411,0.05956,-0.01869,0.05007,0.17028,0.14542,corporate,2024
201,Intellectual Property,1681853383295.78247,-0.30625,0.07162,-0.00549,0.06376,0.18089,0.15665,corporate,2025
201,Intellectual Property,1681853383295.78247,-0.28885,0.08336,0.00737,0.10574,0.19662,0.17769,corporate,2026
201,Intellectual Property,1681853383295.78247,-0.27192,0.09482,0.01990,0.11787,0.20666,0.18816,corporate,2027
201,Intellectual Property,1681853383295.78247,-0.27192,0.09482,0.01990,0.11874,0.20687,0.18851,corporate,2028
201,Intellectual Property,1681853383295.78247,-0.27192,0.09482,0.01990,0.11977,0.20728,0.18904,corporate,2029
64,Inventories,1540550422356.87988,-0.00948,0.24012,0.18735,0.27400,0.33028,0.31844,corporate,2020
64,Inventories,1540550422356.87988,-0.00948,0.24012,0.18735,0.27460,0.33006,0.31840,corporate,2021
64,Inventories,1540550422356.87988,0.02281,0.24012,0.19299,0.29832,0.32987,0.32309,corporate,2022
64,Inventories,1540550422356.87988,0.00693,0.24012,0.19018,0.28720,0.32976,0.32071,corporate,2023
64,Inventories,1540550422356.87988,0.00693,0.24012,0.19018,0.28756,0.32958,0.32065,corporate,2024
64,Inventories,1540550422356.87988,0.00693,0.24012,0.19018,0.28823,0.32956,0.32077,corporate,2025
64,Inventories,1540550422356.87988,0.00693,0.24012,0.19018,0.31096,0.33401,0.32914,corporate,2026
