,index,Industry,assets,bea_ind_code,delta,eatr_d,eatr_e,eatr_mix,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix,reform
0,0,Accommodation,251468386854.07248,7210,0.02163,0.15267,0.20754,0.18991,Accommodation and food services,-0.06843,0.20325,0.14587,0.23432,0.29424,0.28143,0.04118,0.07280,0.06266,corporate,0.00965,0.02142,0.01763,0.06281,0.09443,0.08429,0.24616,0.19826,0.21111,Baseline
1,1,Food services and drinking places,170870560831.34879,7220,0.05189,0.14422,0.19270,0.17711,Accommodation and food services,-0.12698,0.15989,0.09930,0.19235,0.25584,0.24224,0.03904,0.06904,0.05942,corporate,0.00751,0.01766,0.01439,0.09093,0.12093,0.11131,0.47867,0.43170,0.44430,Baseline
2,2,Administrative and support services,106492097792.69568,5610,0.14921,0.13164,0.17117,0.15847,Administrative and waste management services,-0.22706,0.08788,0.02159,0.12063,0.19205,0.17687,0.03586,0.06359,0.05470,corporate,0.00433,0.01221,0.00967,0.18506,0.21279,0.20391,0.75536,0.72550,0.73351,Baseline
3,3,Waste management and remediation services,69464866307.31482,5620,0.04823,0.12894,0.16680,0.15466,Administrative and waste management services,-0.25088,0.07172,0.00404,0.10357,0.17774,0.16211,0.03518,0.06248,0.05374,corporate,0.00364,0.01111,0.00871,0.08340,0.11071,0.10196,0.76937,0.75486,0.75875,Baseline
4,4,Farms,359601192714.82739,110C,0.03762,0.13845,0.18200,0.16807,"Agriculture, forestry, fishing, and hunting",-0.17073,0.12556,0.06321,0.16101,0.22542,0.21188,0.03758,0.06633,0.05713,corporate,0.00605,0.01495,0.01211,0.07520,0.10395,0.09475,0.50322,0.50322,0.50322,Baseline
5,5,"Forestry, fishing, and related activities",34352705962.32426,113F,0.04638,0.14049,0.18727,0.17228,"Agriculture, forestry, fishing, and hunting",-0.15492,0.14283,0.08039,0.17233,0.24072,0.22634,0.03810,0.06766,0.05820,corporate,0.00657,0.01629,0.01317,0.08448,0.11405,0.10458,0.42165,0.41085,0.41375,Baseline
6,6,"Performing arts, spectator sports, museums, and related activities",79922779340.27766,711A,0.07496,0.13090,0.17031,0.15765,"Arts, entertainment, and recreation",-0.23349,0.08474,0.01785,0.11603,0.18926,0.17372,0.03567,0.06337,0.05449,corporate,0.00414,0.01199,0.00947,0.11063,0.13833,0.12945,0.75019,0.72250,0.72993,Baseline
7,7,"Amusements, gambling, and recreation industries",103100531850.63574,7130,0.04042,0.13377,0.17528,0.16197,"Arts, entertainment, and recreation",-0.20884,0.10255,0.03719,0.13370,0.20504,0.18999,0.03640,0.06463,0.05559,corporate,0.00487,0.01325,0.01056,0.07682,0.10505,0.09601,0.64268,0.62537,0.63001,Baseline
8,8,Construction,167674309864.62842,2300,0.06772,0.13954,0.18428,0.16995,Construction,-0.16223,0.13311,0.07094,0.16710,0.23211,0.21839,0.03786,0.06691,0.05761,corporate,0.00633,0.01553,0.01258,0.10558,0.13463,0.12533,0.49848,0.48678,0.48992,Baseline
9,9,Educational services,321852356259.17963,6100,0.04393,0.14572,0.19644,0.18003,Educational services,-0.11611,0.17125,0.11038,0.20015,0.26589,0.25156,0.03942,0.06998,0.06016,corporate,0.00789,0.01861,0.01513,0.08336,0.11392,0.10409,0.49777,0.41272,0.43554,Baseline
10,10,Credit intermediation and related activities,742471497270.98792,5220,0.11423,0.13553,0.17765,0.16409,Finance and insurance,-0.19425,0.11080,0.04641,0.14415,0.21235,0.19775,0.03684,0.06523,0.05612,corporate,0.00531,0.01385,0.01110,0.15107,0.17945,0.17035,0.71054,0.66511,0.67730,Baseline
11,11,"Securities, commodity contracts, and investments",117288646634.00693,5230,0.05913,0.14713,0.19796,0.18162,Finance and insurance,-0.10607,0.17580,0.11630,0.20734,0.26992,0.25654,0.03978,0.07037,0.06056,corporate,0.00825,0.01899,0.01554,0.09891,0.12950,0.11970,0.37802,0.33439,0.34609,Baseline
12,12,Insurance carriers and related activities,242704259872.50821,5240,0.11475,0.14209,0.18867,0.17366,Finance and insurance,-0.14277,0.14728,0.08586,0.18104,0.24466,0.23094,0.03850,0.06802,0.05855,corporate,0.00697,0.01664,0.01352,0.15325,0.18276,0.17329,0.59557,0.53457,0.55093,Baseline
13,13,"Funds, trusts, and other financial vehicles",34266597922.83983,5250,0.02110,0.15333,0.20855,0.19075,Finance and insurance,-0.06408,0.20604,0.14878,0.23743,0.29671,0.28387,0.04135,0.07305,0.06287,corporate,0.00982,0.02168,0.01785,0.06245,0.09415,0.08397,0.31057,0.23704,0.25677,Baseline
14,14,Ambulatory health care services,187676386627.50763,6210,0.07631,0.13890,0.18373,0.16928,Health care and social assistance,-0.16721,0.13132,0.06822,0.16353,0.23052,0.21609,0.03770,0.06677,0.05744,corporate,0.00616,0.01539,0.01241,0.11401,0.14308,0.13375,0.64210,0.58499,0.60031,Baseline
15,15,Hospitals,476870658866.97443,622H,0.05038,0.14314,0.19198,0.17620,Health care and social assistance,-0.13491,0.15767,0.09580,0.18668,0.25387,0.23930,0.03877,0.06886,0.05919,corporate,0.00724,0.01748,0.01416,0.08915,0.11923,0.10957,0.53192,0.45870,0.47834,Baseline
16,16,Nursing and residential care facilities,45367688456.41498,6230,0.04907,0.14305,0.19132,0.17573,Health care and social assistance,-0.13559,0.15562,0.09396,0.18619,0.25205,0.23775,0.03875,0.06869,0.05907,corporate,0.00721,0.01731,0.01404,0.08782,0.11776,0.10814,0.56493,0.48953,0.50976,Baseline
17,17,Social assistance,32821172821.90539,6240,0.05176,0.14281,0.19052,0.17513,Health care and social assistance,-0.13736,0.15310,0.09165,0.18492,0.24982,0.23581,0.03869,0.06849,0.05892,corporate,0.00715,0.01711,0.01389,0.09045,0.12025,0.11068,0.55279,0.48968,0.50662,Baseline
18,18,Publishing industries (including software),205722166039.38168,5110,0.14041,0.13113,0.17014,0.15762,Information,-0.23148,0.08411,0.01773,0.11747,0.18871,0.17362,0.03573,0.06333,0.05449,corporate,0.00420,0.01195,0.00946,0.17614,0.20374,0.19490,0.75419,0.73140,0.73751,Baseline
19,19,Motion picture and sound recording industries,275276728520.28156,5120,0.10233,0.12317,0.15656,0.14587,Information,-0.30510,0.03155,-0.03899,0.06471,0.14215,0.12590,0.03371,0.05989,0.05151,corporate,0.00218,0.00851,0.00649,0.13604,0.16222,0.15384,0.90564,0.90030,0.90174,Baseline
20,20,Broadcasting and telecommunications,1290508619097.38721,5130,0.07035,0.12324,0.15684,0.14607,Information,-0.30446,0.03270,-0.03795,0.06517,0.14317,0.12677,0.03373,0.05996,0.05156,corporate,0.00220,0.00858,0.00654,0.10408,0.13031,0.12191,0.91154,0.90218,0.90469,Baseline
21,21,Information and data processing services,118194411065.82817,5140,0.21016,0.12513,0.16014,0.14891,Information,-0.28620,0.04599,-0.02370,0.07825,0.15494,0.13877,0.03421,0.06080,0.05228,corporate,0.00268,0.00942,0.00725,0.24436,0.27095,0.26244,0.87910,0.86325,0.86750,Baseline
22,22,Management of companies and enterprises,424413204161.25208,5500,0.07542,0.14602,0.19590,0.17984,Management of companies and enterprises,-0.11399,0.16964,0.10966,0.20167,0.26447,0.25096,0.03950,0.06985,0.06011,corporate,0.00797,0.01847,0.01509,0.11492,0.14527,0.13554,0.45571,0.39946,0.41455,Baseline
23,23,"Food, beverage, and tobacco products",382744557829.31506,311A,0.06063,0.14226,0.18767,0.17310,Manufacturing,-0.14151,0.14408,0.08363,0.18195,0.24183,0.22906,0.03855,0.06776,0.05840,corporate,0.00701,0.01639,0.01338,0.09917,0.12839,0.11903,0.54102,0.51045,0.51866,Baseline
24,24,Textile mills and textile product mills,39763433351.20227,313T,0.05621,0.14473,0.19169,0.17660,Manufacturing,-0.12325,0.15677,0.09732,0.19503,0.25307,0.24058,0.03917,0.06878,0.05929,corporate,0.00764,0.01741,0.01426,0.09539,0.12500,0.11550,0.55292,0.50245,0.51599,Baseline
25,25,Apparel and leather and allied products,23802489966.32124,315A,0.03920,0.15148,0.20209,0.18584,Manufacturing,-0.07628,0.18784,0.13161,0.22869,0.28059,0.26943,0.04088,0.07141,0.06163,corporate,0.00935,0.02004,0.01661,0.08008,0.11061,0.10083,0.37053,0.33103,0.34163,Baseline
26,26,Wood products,45996624948.83839,3210,0.04991,0.14597,0.19414,0.17867,Manufacturing,-0.11435,0.16429,0.10526,0.20141,0.25973,0.24726,0.03948,0.06940,0.05982,corporate,0.00795,0.01803,0.01479,0.08940,0.11931,0.10973,0.46145,0.42417,0.43417,Baseline
27,27,Paper products,129541595783.22841,3220,0.07437,0.13658,0.17847,0.16503,Manufacturing,-0.18570,0.11363,0.05042,0.15027,0.21485,0.20112,0.03711,0.06544,0.05636,corporate,0.00558,0.01406,0.01134,0.11148,0.13981,0.13073,0.66365,0.63635,0.64368,Baseline
28,28,Printing and related support activities,49933189821.24265,3230,0.08738,0.13604,0.17758,0.16424,Manufacturing,-0.19010,0.11055,0.04703,0.14712,0.21213,0.19827,0.03697,0.06521,0.05616,corporate,0.00544,0.01383,0.01114,0.12436,0.15259,0.14355,0.69916,0.66564,0.67463,Baseline
29,29,Petroleum and coal products,329428097154.64099,3240,0.04248,0.14406,0.19219,0.17677,Manufacturing,-0.12814,0.15830,0.09797,0.19152,0.25443,0.24113,0.03900,0.06891,0.05933,corporate,0.00747,0.01753,0.01431,0.08148,0.11139,0.10181,0.39356,0.37645,0.38104,Baseline
30,30,Chemical products,863500092522.49268,3250,0.08141,0.13116,0.16948,0.15720,Manufacturing,-0.23127,0.08169,0.01579,0.11762,0.18656,0.17199,0.03574,0.06316,0.05438,corporate,0.00420,0.01178,0.00935,0.11714,0.14457,0.13579,0.75527,0.73985,0.74399,Baseline
31,31,Plastics and rubber products,110331312312.14606,3260,0.07510,0.13835,0.18103,0.16734,Manufacturing,-0.17154,0.12231,0.06017,0.16043,0.22254,0.20932,0.03756,0.06608,0.05695,corporate,0.00603,0.01471,0.01192,0.11266,0.14118,0.13205,0.62729,0.60148,0.60840,Baseline
32,32,Nonmetallic mineral products,116582519995.50418,3270,0.05528,0.14250,0.18922,0.17424,Manufacturing,-0.13968,0.14902,0.08813,0.18325,0.24621,0.23285,0.03861,0.06816,0.05869,corporate,0.00707,0.01678,0.01367,0.09389,0.12344,0.11397,0.47659,0.45101,0.45787,Baseline
33,33,Primary metals,186378975799.56097,3310,0.06098,0.14097,0.18549,0.17120,Manufacturing,-0.15119,0.13707,0.07605,0.17501,0.23562,0.22268,0.03822,0.06721,0.05793,corporate,0.00669,0.01584,0.01290,0.09920,0.12819,0.11890,0.58078,0.54854,0.55719,Baseline
34,34,Fabricated metal products,185026333664.73990,3320,0.07307,0.13898,0.18213,0.16828,Manufacturing,-0.16660,0.12599,0.06411,0.16397,0.22581,0.21264,0.03772,0.06636,0.05719,corporate,0.00618,0.01498,0.01216,0.11079,0.13943,0.13026,0.61605,0.58832,0.59576,Baseline
35,35,Machinery,272319888399.54382,3330,0.08052,0.13868,0.18149,0.16776,Manufacturing,-0.16894,0.12386,0.06194,0.16229,0.22392,0.21082,0.03764,0.06620,0.05705,corporate,0.00611,0.01482,0.01203,0.11816,0.14672,0.13757,0.61004,0.58728,0.59338,Baseline
36,36,Computer and electronic products,503974938260.14197,3340,0.14992,0.13382,0.17397,0.16109,Manufacturing,-0.20842,0.09794,0.03332,0.13400,0.20095,0.18674,0.03641,0.06430,0.05536,corporate,0.00488,0.01292,0.01034,0.18633,0.21422,0.20528,0.72199,0.69655,0.70337,Baseline
37,37,"Electrical equipment, appliances, and components",97409347474.36090,3350,0.06863,0.14312,0.18886,0.17419,Manufacturing,-0.13507,0.14789,0.08795,0.18656,0.24520,0.23270,0.03876,0.06807,0.05868,corporate,0.00723,0.01669,0.01365,0.10739,0.13669,0.12731,0.51317,0.48612,0.49337,Baseline
38,38,"Motor vehicles, bodies and trailers, and parts",238664334579.08081,336M,0.10965,0.13706,0.17894,0.16551,Manufacturing,-0.18184,0.11522,0.05246,0.15305,0.21627,0.20284,0.03723,0.06555,0.05648,corporate,0.00570,0.01418,0.01146,0.14688,0.17521,0.16614,0.64316,0.62134,0.62719,Baseline
39,39,Other transportation equipment,222225359206.36774,336O,0.07733,0.14450,0.19059,0.17582,Manufacturing,-0.12492,0.15335,0.09432,0.19384,0.25004,0.23806,0.03911,0.06850,0.05909,corporate,0.00758,0.01713,0.01407,0.11645,0.14584,0.13643,0.48502,0.46216,0.46830,Baseline
40,40,Furniture and related products,27298970228.61856,3370,0.06489,0.14392,0.19040,0.17548,Manufacturing,-0.12918,0.15274,0.09299,0.19078,0.24950,0.23694,0.03897,0.06846,0.05901,corporate,0.00743,0.01708,0.01398,0.10385,0.13334,0.12389,0.52145,0.48486,0.49468,Baseline
