,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,ucc_mix,z_mix,year
226,Equipment,4571425640406.57031,-0.04416,0.21000,0.15595,0.24753,0.30394,0.29194,corporate,0.20879,0.69852,2020
226,Equipment,4571425640406.57031,-0.04416,0.21000,0.15595,0.24797,0.30380,0.29192,corporate,0.20879,0.69852,2021
226,Equipment,4571425640406.57031,-0.04416,0.21000,0.15595,0.24837,0.30370,0.29193,corporate,0.20879,0.69852,2022
226,Equipment,4571425640406.57031,-0.04416,0.21000,0.15595,0.24906,0.30375,0.29212,corporate,0.20879,0.69852,2023
226,Equipment,4571425640406.57031,-0.04416,0.21000,0.15595,0.24972,0.30389,0.29237,corporate,0.20879,0.69852,2024
226,Equipment,4571425640406.57031,-0.04416,0.21000,0.15595,0.27344,0.30899,0.30143,corporate,0.20879,0.69852,2025
226,Equipment,4571425640406.57031,-0.04416,0.21000,0.15595,0.27440,0.30913,0.30175,corporate,0.20879,0.69852,2026
226,Equipment,4571425640406.57031,-0.04416,0.21000,0.15595,0.27542,0.30913,0.30196,corporate,0.20879,0.69852,2027
226,Equipment,4571425640406.57031,-0.04416,0.21000,0.15595,0.27617,0.30932,0.30227,corporate,0.20879,0.69852,2028
226,Equipment,4571425640406.57031,-0.04416,0.21000,0.15595,0.27739,0.30955,0.30271,corporate,0.20879,0.69852,2029
201,Intellectual Property,1681853383295.78247,-0.20951,0.13404,0.06411,0.12836,0.23701,0.21490,corporate,0.23363,0.75223,2020
201,Intellectual Property,1681853383295.78247,-0.20951,0.13404,0.06411,0.12887,0.23686,0.21488,corporate,0.23363,0.75223,2021
201,Intellectual Property,1681853383295.78247,-0.20951,0.13404,0.06411,0.12934,0.23675,0.21488,corporate,0.23363,0.75223,2022
201,Intellectual Property,1681853383295.78247,-0.20951,0.13404,0.06411,0.13014,0.23681,0.21509,corporate,0.23363,0.75223,2023
201,Intellectual Property,1681853383295.78247,-0.20951,0.13404,0.06411,0.13090,0.23696,0.21537,corporate,0.23363,0.75223,2024
201,Intellectual Property,1681853383295.78247,-0.20951,0.13404,0.06411,0.15838,0.24255,0.22541,corporate,0.23363,0.75223,2025
201,Intellectual Property,1681853383295.78247,-0.20951,0.13404,0.06411,0.15949,0.24271,0.22577,corporate,0.23363,0.75223,2026
201,Intellectual Property,1681853383295.78247,-0.20951,0.13404,0.06411,0.16067,0.24270,0.22601,corporate,0.23363,0.75223,2027
201,Intellectual Property,1681853383295.78247,-0.20951,0.13404,0.06411,0.16154,0.24291,0.22635,corporate,0.23363,0.75223,2028
201,Intellectual Property,1681853383295.78247,-0.20951,0.13404,0.06411,0.16296,0.24316,0.22684,corporate,0.23363,0.75223,2029
64,Inventories,1540550422356.87988,0.02670,0.24012,0.19369,0.29859,0.33048,0.32360,corporate,0.06638,0.00000,2020
64,Inventories,1540550422356.87988,0.02670,0.24012,0.19369,0.29900,0.33034,0.32359,corporate,0.06638,0.00000,2021
64,Inventories,1540550422356.87988,0.02670,0.24012,0.19369,0.29938,0.33025,0.32359,corporate,0.06638,0.00000,2022
64,Inventories,1540550422356.87988,0.02670,0.24012,0.19369,0.30002,0.33030,0.32377,corporate,0.06638,0.00000,2023
64,Inventories,1540550422356.87988,0.02670,0.24012,0.19369,0.30063,0.33043,0.32401,corporate,0.06638,0.00000,2024
64,Inventories,1540550422356.87988,0.02670,0.24012,0.19369,0.32274,0.33534,0.33266,corporate,0.06638,0.00000,2025
64,Inventories,1540550422356.87988,0.02670,0.24012,0.19369,0.32364,0.33548,0.33297,corporate,0.06638,0.00000,2026
64,Inventories,1540550422356.87988,0.02670,0.24012,0.19369,0.32459,0.33547,0.33317,corporate,0.06638,0.00000,2027
