,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.28767,0.49935,0.46230,corporate,0.70777,2020
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.28922,0.49897,0.46226,corporate,0.70777,2021
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.28995,0.49855,0.46204,corporate,0.70777,2022
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.29091,0.49842,0.46210,corporate,0.70777,2023
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.29165,0.49817,0.46202,corporate,0.70777,2024
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.29327,0.49826,0.46238,corporate,0.70777,2025
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.32074,0.50308,0.47117,corporate,0.70777,2026
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.32190,0.50322,0.47148,corporate,0.70777,2027
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.32289,0.50330,0.47173,corporate,0.70777,2028
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.32446,0.50383,0.47244,corporate,0.70777,2029
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.14372,0.45121,0.40137,corporate,0.76057,2020
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.14558,0.45080,0.40132,corporate,0.76057,2021
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.14646,0.45034,0.40108,corporate,0.76057,2022
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.14761,0.45019,0.40114,corporate,0.76057,2023
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.14850,0.44992,0.40106,corporate,0.76057,2024
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.15044,0.45002,0.40146,corporate,0.76057,2025
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.18347,0.45531,0.41124,corporate,0.76057,2026
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.18486,0.45545,0.41159,corporate,0.76057,2027
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.18605,0.45555,0.41186,corporate,0.76057,2028
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.18794,0.45613,0.41266,corporate,0.76057,2029
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.38336,0.52979,0.50258,corporate,0.00000,2020
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.38471,0.52944,0.50254,corporate,0.00000,2021
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.38534,0.52904,0.50233,corporate,0.00000,2022
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.38617,0.52892,0.50239,corporate,0.00000,2023
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.38680,0.52869,0.50232,corporate,0.00000,2024
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.38820,0.52877,0.50265,corporate,0.00000,2025
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.41199,0.53330,0.51078,corporate,0.00000,2026
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.41299,0.53342,0.51107,corporate,0.00000,2027
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.41385,0.53351,0.51130,corporate,0.00000,2028
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.41521,0.53400,0.51196,corporate,0.00000,2029
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.28767,0.49935,0.46230,corporate,0.00000,2020
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.28922,0.49897,0.46226,corporate,0.00000,2021
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.28995,0.49855,0.46204,corporate,0.00000,2022
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.29091,0.49842,0.46210,corporate,0.00000,2023
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.29165,0.49817,0.46202,corporate,0.00000,2024
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.29327,0.49826,0.46238,corporate,0.00000,2025
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.32074,0.50308,0.47117,corporate,0.00000,2026
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.32190,0.50322,0.47148,corporate,0.00000,2027
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.32289,0.50330,0.47173,corporate,0.00000,2028
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.32446,0.50383,0.47244,corporate,0.00000,2029
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.28614,0.49817,0.46107,corporate,0.38918,2020
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.28769,0.49779,0.46103,corporate,0.38918,2021
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.28842,0.49737,0.46081,corporate,0.38918,2022
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.28939,0.49724,0.46087,corporate,0.38918,2023
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.29012,0.49699,0.46079,corporate,0.38918,2024
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.29174,0.49708,0.46115,corporate,0.38918,2025
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.31928,0.50191,0.46996,corporate,0.38918,2026
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.32044,0.50204,0.47027,corporate,0.38918,2027
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.32143,0.50213,0.47051,corporate,0.38918,2028
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.32301,0.50266,0.47123,corporate,0.38918,2029
230,Structures,8927295821987.31055,-0.09369,0.35000,0.27234,0.28767,0.49935,0.46230,corporate,0.37959,2020
230,Structures,8927295821987.31055,-0.09369,0.35000,0.27234,0.28922,0.49897,0.46226,corporate,0.37959,2021
230,Structures,8927295821987.31055,-0.09369,0.35000,0.27234,0.28995,0.49855,0.46204,corporate,0.37959,2022
230,Structures,8927295821987.31055,-0.09369,0.35000,0.27234,0.29091,0.49842,0.46210,corporate,0.37959,2023
230,Structures,8927295821987.31055,-0.09369,0.35000,0.27234,0.29165,0.49817,0.46202,corporate,0.37959,2024
230,Structures,8927295821987.31055,-0.09369,0.35000,0.27234,0.29327,0.49826,0.46238,corporate,0.37959,2025
230,Structures,8927295821987.31055,-0.09369,0.35000,0.27234,0.32074,0.50308,0.47117,corporate,0.37959,2026
230,Structures,8927295821987.31055,-0.09369,0.35000,0.27234,0.32190,0.50322,0.47148,corporate,0.37959,2027
230,Structures,8927295821987.31055,-0.09369,0.35000,0.27234,0.32289,0.50330,0.47173,corporate,0.37959,2028
230,Structures,8927295821987.31055,-0.09369,0.35000,0.27234,0.32446,0.50383,0.47244,corporate,0.37959,2029
