CIT_rate,DeprecSystem_3yr,BonusDeprec_3yr,DeprecSystem_5yr,BonusDeprec_5yr,DeprecSystem_7yr,BonusDeprec_7yr,DeprecSystem_10yr,BonusDeprec_10yr,DeprecSystem_15yr,BonusDeprec_15yr,DeprecSystem_20yr,BonusDeprec_20yr,DeprecSystem_25yr,DeprecSystem_27_5yr,DeprecSystem_39yr,interest_deduct_haircut_corp,interest_deduct_haircut_PT,tau_nc,tau_div,tau_int,tau_scg,tau_lcg,tau_xcg,tau_td,tau_w,Y_lcg,inv_tax_credit,ip_amortization
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.29926251,0.388659639,0.449051061,0.49386532,0.514170107,0.513954197,0.234621568,0.0053,8,0.0217,FALSE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.29991621,0.387995744,0.449685124,0.492734117,0.512957889,0.512760729,0.235437452,0.0053,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.301461292,0.38822733,0.451091581,0.493267286,0.510284754,0.510084527,0.235886641,0.0053,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.30307076,0.388459998,0.452541314,0.492218865,0.510299815,0.510107364,0.237161144,0.0053,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.304500652,0.388822304,0.454617109,0.491504024,0.509279516,0.509105211,0.237799679,0.0053,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.348301217,0.38935439,0.460549522,0.49213508,0.5078353,0.507659535,0.252543259,0.0053,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.3492968,0.389880124,0.462463576,0.492545294,0.50752224,0.50739235,0.253906557,0.0053,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.350181659,0.390246922,0.464675146,0.492805333,0.507934673,0.507892832,0.255480696,0.0053,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.350171823,0.391769879,0.466124254,0.49306594,0.508275083,0.508252542,0.257080572,0.0053,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.350791422,0.392927905,0.468381804,0.493606728,0.508577989,0.508479357,0.258680032,0.0053,8,0.0217,TRUE
