CIT_rate,DeprecSystem_3yr,BonusDeprec_3yr,DeprecSystem_5yr,BonusDeprec_5yr,DeprecSystem_7yr,BonusDeprec_7yr,DeprecSystem_10yr,BonusDeprec_10yr,DeprecSystem_15yr,BonusDeprec_15yr,DeprecSystem_20yr,BonusDeprec_20yr,DeprecSystem_25yr,DeprecSystem_27_5yr,DeprecSystem_39yr,interest_deduct_haircut_corp,interest_deduct_haircut_PT,tau_nc,tau_div,tau_int,tau_scg,tau_lcg,tau_xcg,tau_td,tau_w,Y_lcg,inv_tax_credit,ip_amortization
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.298996844,0.388169154,0.448301955,0.493478145,0.513954197,0.513954197,0.234012155,0,8,0.0217,FALSE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.299626817,0.387510331,0.44924621,0.492451999,0.512760729,0.512760729,0.234795746,0,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.301166914,0.387851365,0.450440755,0.493159177,0.510084527,0.510084527,0.235303571,0,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.302836238,0.388011971,0.452131903,0.49208437,0.510107364,0.510107364,0.236616253,0,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.304235645,0.388405358,0.45407541,0.491379413,0.509105211,0.509105211,0.237291085,0,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.347346099,0.388634996,0.459880822,0.492055346,0.507659535,0.507659535,0.25118481,0,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.348455273,0.38929109,0.461805885,0.492432832,0.50739235,0.50739235,0.252453139,0,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.34926497,0.389896835,0.464002527,0.492787715,0.507892832,0.507892832,0.25399789,0,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.349428662,0.391478414,0.465529985,0.493202445,0.508252542,0.508252542,0.2553999,0,8,0.0217,TRUE
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.349931013,0.392466937,0.467575625,0.49351056,0.508479357,0.508479357,0.257093816,0,8,0.0217,TRUE
