CIT_rate,DeprecSystem_3yr,BonusDeprec_3yr,DeprecSystem_5yr,BonusDeprec_5yr,DeprecSystem_7yr,BonusDeprec_7yr,DeprecSystem_10yr,BonusDeprec_10yr,DeprecSystem_15yr,BonusDeprec_15yr,DeprecSystem_20yr,BonusDeprec_20yr,DeprecSystem_25yr,DeprecSystem_27_5yr,DeprecSystem_39yr,interest_deduct_haircut_corp,interest_deduct_haircut_PT,tau_nc,tau_div,tau_int,tau_scg,tau_lcg,tau_xcg,tau_td,tau_w,Y_lcg,inv_tax_credit
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.280796287,0.357672311,0.395839513,0.433303423,0.454479975,0.454479975,0.220364712,0.0053,8,0.0217
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.281948137,0.356953368,0.397628366,0.43291905,0.453050799,0.453050799,0.220168086,0.0053,8,0.0217
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.282933259,0.355524825,0.398443966,0.431637363,0.452316924,0.452316924,0.22022595,0.0053,8,0.0217
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.284263106,0.355422822,0.399480815,0.431716931,0.451538418,0.451538418,0.220518384,0.0053,8,0.0217
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.286137743,0.354435897,0.400284605,0.431308667,0.451259876,0.451259876,0.220672518,0.0053,8,0.0217
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.288081056,0.354486091,0.402055696,0.431435822,0.451688375,0.451688375,0.22102402,0.0053,8,0.0217
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.33511474,0.358911231,0.42756642,0.456558938,0.469039084,0.469039084,0.253641683,0.0053,8,0.0217
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.336769562,0.359422903,0.428821916,0.457608251,0.469079537,0.469079537,0.253935609,0.0053,8,0.0217
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.337708313,0.359547404,0.429824607,0.457730088,0.469337322,0.469337322,0.254637374,0.0053,8,0.0217
0.35,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.337709703,0.361857874,0.431521351,0.457840724,0.46955785,0.46955785,0.255115434,0.0053,8,0.0217
