,asset_name,assets,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,ucc_mix,z_mix,year
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,corporate,0.21893,0.70777,2020
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.46928,0.57520,0.55666,corporate,0.21893,0.70777,2021
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.47059,0.57485,0.55660,corporate,0.21893,0.70777,2022
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.47206,0.57492,0.55692,corporate,0.21893,0.70777,2023
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.47399,0.57485,0.55720,corporate,0.21893,0.70777,2024
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.48147,0.57518,0.55878,corporate,0.21893,0.70777,2025
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.48337,0.57529,0.55920,corporate,0.21893,0.70777,2026
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.48557,0.57548,0.55974,corporate,0.21893,0.70777,2027
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.48709,0.57590,0.56036,corporate,0.21893,0.70777,2028
226,Equipment,4571425640406.57031,-0.09369,0.35000,0.27234,0.48933,0.57624,0.56103,corporate,0.21893,0.70777,2029
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.36120,0.53470,0.50657,corporate,0.24251,0.76057,2020
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.36202,0.53435,0.50642,corporate,0.24251,0.76057,2021
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.36360,0.53397,0.50635,corporate,0.24251,0.76057,2022
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.36537,0.53405,0.50671,corporate,0.24251,0.76057,2023
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.36769,0.53397,0.50702,corporate,0.24251,0.76057,2024
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.37668,0.53434,0.50878,corporate,0.24251,0.76057,2025
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.37897,0.53445,0.50925,corporate,0.24251,0.76057,2026
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.38161,0.53466,0.50985,corporate,0.24251,0.76057,2027
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.38344,0.53513,0.51054,corporate,0.24251,0.76057,2028
201,Intellectual Property,1681853383295.78247,-0.31471,0.28750,0.18988,0.38613,0.53550,0.51129,corporate,0.24251,0.76057,2029
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.53998,0.60132,0.59000,corporate,0.07951,0.00000,2020
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.54057,0.60103,0.58987,corporate,0.07951,0.00000,2021
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.54171,0.60070,0.58981,corporate,0.07951,0.00000,2022
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.54298,0.60077,0.59011,corporate,0.07951,0.00000,2023
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.54465,0.60070,0.59037,corporate,0.07951,0.00000,2024
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.55113,0.60101,0.59183,corporate,0.07951,0.00000,2025
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.55277,0.60111,0.59222,corporate,0.07951,0.00000,2026
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.55467,0.60129,0.59272,corporate,0.07951,0.00000,2027
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.55599,0.60169,0.59329,corporate,0.07951,0.00000,2028
64,Inventories,1540550422356.87988,0.05323,0.38952,0.32684,0.55793,0.60201,0.59391,corporate,0.07951,0.00000,2029
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,corporate,0.07355,0.00000,2020
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.46928,0.57520,0.55666,corporate,0.07355,0.00000,2021
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.47059,0.57485,0.55660,corporate,0.07355,0.00000,2022
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.47206,0.57492,0.55692,corporate,0.07355,0.00000,2023
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.47399,0.57485,0.55720,corporate,0.07355,0.00000,2024
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.48147,0.57518,0.55878,corporate,0.07355,0.00000,2025
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.48337,0.57529,0.55920,corporate,0.07355,0.00000,2026
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.48557,0.57548,0.55974,corporate,0.07355,0.00000,2027
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.48709,0.57590,0.56036,corporate,0.07355,0.00000,2028
65,Land,3586505862665.65332,-0.09369,0.35000,0.27234,0.48933,0.57624,0.56103,corporate,0.07355,0.00000,2029
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.46745,0.57451,0.55578,corporate,0.13500,0.38918,2020
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.46813,0.57420,0.55564,corporate,0.13500,0.38918,2021
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.46945,0.57384,0.55558,corporate,0.13500,0.38918,2022
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.47092,0.57392,0.55590,corporate,0.13500,0.38918,2023
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.47286,0.57385,0.55618,corporate,0.13500,0.38918,2024
236,Overall,20307631130712.19531,-0.09605,0.34847,0.27067,0.48036,0.57418,0.55777,corporate,0.13500,0.38918,2025
