,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix,year
0,0,Prepackaged software,72268924053.12727,ENS1,0.55000,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Computers and Software,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.59023,0.63923,0.62355,0.95461,0.90461,0.92003,2020
1,1,Custom software,197240164684.60291,ENS2,0.33000,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Computers and Software,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.37023,0.41923,0.40355,0.92658,0.85052,0.87346,2020
2,2,Mainframes,17413293618.87355,EP1A,0.46330,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Computers and Software,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.50353,0.55253,0.53685,0.94657,0.88874,0.90646,2020
3,3,PCs,53550810953.45985,EP1B,0.46330,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Computers and Software,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.50353,0.55253,0.53685,0.94657,0.88874,0.90646,2020
4,4,DASDs,0.00000,EP1C,0.46330,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Computers and Software,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.50353,0.55253,0.53685,0.94657,0.88874,0.90646,2020
5,5,Printers,9260043910.94578,EP1D,0.46330,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Computers and Software,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.50353,0.55253,0.53685,0.94657,0.88874,0.90646,2020
6,6,Terminals,12396994619.05792,EP1E,0.46330,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Computers and Software,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.50353,0.55253,0.53685,0.94657,0.88874,0.90646,2020
7,7,Tape drives,0.00000,EP1F,0.46330,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Computers and Software,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.50353,0.55253,0.53685,0.94657,0.88874,0.90646,2020
8,8,Storage devices,7998988409.10011,EP1G,0.46330,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Computers and Software,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.50353,0.55253,0.53685,0.94657,0.88874,0.90646,2020
9,9,System integrators,28310184524.93624,EP1H,0.46330,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Computers and Software,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.50353,0.55253,0.53685,0.94657,0.88874,0.90646,2020
10,10,Special industrial machinery,277678587240.98022,EI40,0.10310,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Industrial Machinery,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.14333,0.19233,0.17665,0.79768,0.63998,0.68320,2020
11,11,General industrial equipment,476419502162.85541,EI50,0.10720,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Industrial Machinery,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.14743,0.19643,0.18075,0.80390,0.64891,0.69158,2020
12,12,Office and accounting equipment,7268611167.04590,EP12,0.31190,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Instruments and Communications Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.35213,0.40113,0.38545,0.92264,0.84320,0.86709,2020
13,13,Communications,498336136105.87726,EP20,0.11290,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Instruments and Communications Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.15313,0.20213,0.18645,0.81194,0.66062,0.70252,2020
14,14,Photocopy and related equipment,25020946205.02676,EP31,0.18000,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Instruments and Communications Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.22023,0.26923,0.25355,0.87315,0.75630,0.79014,2020
15,15,Nonelectro medical instruments,133227504586.31784,EP34,0.13500,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Instruments and Communications Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.17523,0.22423,0.20855,0.83773,0.69948,0.73848,2020
16,16,Electro medical instruments,75049828223.00996,EP35,0.13500,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Instruments and Communications Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.17523,0.22423,0.20855,0.83773,0.69948,0.73848,2020
17,17,Nonmedical instruments,108363933017.88855,EP36,0.13500,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Instruments and Communications Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.17523,0.22423,0.20855,0.83773,0.69948,0.73848,2020
18,18,Household furniture,8900871527.04918,EO11,0.13750,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Office and Residential Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.17773,0.22673,0.21105,0.84021,0.70332,0.74201,2020
19,19,Other furniture,201600171016.62607,EO12,0.11790,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Office and Residential Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.15813,0.20713,0.19145,0.81847,0.67027,0.71149,2020
20,20,Household appliances,2759304252.24404,EO71,0.16500,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Office and Residential Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.20523,0.25423,0.23855,0.86320,0.73991,0.77535,2020
21,21,Service industry machinery,100661650545.77032,EO60,0.15280,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Other Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.19303,0.24203,0.22635,0.85387,0.72486,0.76168,2020
22,22,Other electrical,16821590673.30212,EO72,0.18340,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Other Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.22363,0.27263,0.25695,0.87521,0.75973,0.79323,2020
23,23,Other,219586535061.53326,EO80,0.14730,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Other Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.18753,0.23653,0.22085,0.84924,0.71749,0.75497,2020
24,24,Nuclear fuel,6455272412.79992,EI11,0.25000,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Other Industrial Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.29023,0.33923,0.32355,0.90531,0.81169,0.83947,2020
25,25,Other fabricated metals,117546642593.84708,EI12,0.09170,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Other Industrial Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.13193,0.18093,0.16525,0.77811,0.61256,0.65731,2020
26,26,Metalworking machinery,218890188220.55261,EI30,0.12250,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Other Industrial Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.16273,0.21173,0.19605,0.82408,0.67867,0.71929,2020
27,27,Electric transmission and distribution,423453244425.71625,EI60,0.05000,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Other Industrial Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.09023,0.13923,0.12355,0.65660,0.46296,0.51121,2020
28,28,Farm tractors,24563500688.93158,EO21,0.14520,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Other Industrial Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.18543,0.23443,0.21875,0.84739,0.71457,0.75230,2020
29,29,Construction tractors,9895536359.50878,EO22,0.16330,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Other Industrial Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.20353,0.25253,0.23685,0.86197,0.73791,0.77354,2020
30,30,Other agricultural machinery,46750113837.50497,EO30,0.11790,0.26075,0.35000,0.32144,Equipment,-0.09369,0.35000,0.27234,0.46859,0.57551,0.55680,Other Industrial Equipment,0.04023,0.08923,0.07355,corporate,0.01885,0.05135,0.04095,0.15813,0.20713,0.19145,0.81847,0.67027,0.71149,2020
