,Industry,assets,bea_ind_code,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
0,Accommodation,251468386854.07248,7210,Accommodation and food services,-0.09298,0.35017,0.27258,0.46819,0.57546,0.55668,corporate,0.21358,2020
1,Food services and drinking places,170870560831.34879,7220,Accommodation and food services,-0.09070,0.35073,0.27337,0.46930,0.57583,0.55716,corporate,0.36974,2020
2,Administrative and support services,106492097792.69568,5610,Administrative and waste management services,-0.12406,0.34115,0.26066,0.45306,0.56958,0.54942,corporate,0.59792,2020
3,Waste management and remediation services,69464866307.31482,5620,Administrative and waste management services,-0.09345,0.35001,0.27238,0.46796,0.57536,0.55656,corporate,0.37635,2020
4,Farms,359601192714.82739,110C,"Agriculture, forestry, fishing, and hunting",-0.05605,0.35952,0.28563,0.48616,0.58158,0.56463,corporate,0.26026,2020
5,"Forestry, fishing, and related activities",34352705962.32426,113F,"Agriculture, forestry, fishing, and hunting",-0.08842,0.35131,0.27417,0.47040,0.57621,0.55765,corporate,0.28726,2020
6,"Performing arts, spectator sports, museums, and related activities",79922779340.27766,711A,"Arts, entertainment, and recreation",-0.14480,0.33429,0.25193,0.44297,0.56509,0.54410,corporate,0.47021,2020
7,"Amusements, gambling, and recreation industries",103100531850.63574,7130,"Arts, entertainment, and recreation",-0.09318,0.35011,0.27250,0.46809,0.57543,0.55664,corporate,0.33671,2020
8,Construction,167674309864.62842,2300,Construction,-0.06873,0.35620,0.28104,0.47999,0.57941,0.56184,corporate,0.35497,2020
9,Educational services,321852356259.17963,6100,Educational services,-0.10229,0.34739,0.26893,0.46365,0.57365,0.55446,corporate,0.35453,2020
10,Credit intermediation and related activities,742471497270.98792,5220,Finance and insurance,-0.09779,0.34878,0.27074,0.46585,0.57456,0.55556,corporate,0.55063,2020
11,"Securities, commodity contracts, and investments",117288646634.00693,5230,Finance and insurance,-0.09845,0.34832,0.27024,0.46552,0.57426,0.55526,corporate,0.30910,2020
12,Insurance carriers and related activities,242704259872.50821,5240,Finance and insurance,-0.11431,0.34396,0.26437,0.45781,0.57141,0.55168,corporate,0.49445,2020
13,"Funds, trusts, and other financial vehicles",34266597922.83983,5250,Finance and insurance,-0.09362,0.35000,0.27235,0.46788,0.57536,0.55654,corporate,0.25994,2020
14,Ambulatory health care services,187676386627.50763,6210,Health care and social assistance,-0.09645,0.34911,0.27119,0.46650,0.57477,0.55584,corporate,0.49098,2020
15,Hospitals,476870658866.97443,622H,Health care and social assistance,-0.09670,0.34907,0.27113,0.46638,0.57475,0.55580,corporate,0.38451,2020
16,Nursing and residential care facilities,45367688456.41498,6230,Health care and social assistance,-0.09560,0.34941,0.27157,0.46691,0.57497,0.55607,corporate,0.40061,2020
17,Social assistance,32821172821.90539,6240,Health care and social assistance,-0.09459,0.34960,0.27187,0.46740,0.57510,0.55625,corporate,0.38508,2020
18,Publishing industries (including software),205722166039.38168,5110,Information,-0.18798,0.32170,0.23541,0.42196,0.55686,0.53403,corporate,0.59557,2020
19,Motion picture and sound recording industries,275276728520.28156,5120,Information,-0.19985,0.31618,0.22895,0.41618,0.55326,0.53009,corporate,0.61753,2020
20,Broadcasting and telecommunications,1290508619097.38721,5130,Information,-0.11049,0.34478,0.26557,0.45967,0.57194,0.55241,corporate,0.47788,2020
21,Information and data processing services,118194411065.82817,5140,Information,-0.18267,0.32445,0.23856,0.42454,0.55866,0.53595,corporate,0.69818,2020
22,Management of companies and enterprises,424413204161.25208,5500,Management of companies and enterprises,-0.11571,0.34362,0.26389,0.45712,0.57118,0.55139,corporate,0.37802,2020
23,"Food, beverage, and tobacco products",382744557829.31506,311A,Manufacturing,-0.07350,0.35441,0.27883,0.47767,0.57824,0.56049,corporate,0.41208,2020
24,Textile mills and textile product mills,39763433351.20227,313T,Manufacturing,-0.07966,0.35309,0.27687,0.47467,0.57738,0.55930,corporate,0.43664,2020
25,Apparel and leather and allied products,23802489966.32124,315A,Manufacturing,-0.04567,0.36156,0.28878,0.49121,0.58291,0.56656,corporate,0.29616,2020
26,Wood products,45996624948.83839,3210,Manufacturing,-0.07467,0.35427,0.27856,0.47710,0.57815,0.56033,corporate,0.36274,2020
27,Paper products,129541595783.22841,3220,Manufacturing,-0.09214,0.34933,0.27193,0.46859,0.57492,0.55629,corporate,0.49110,2020
28,Printing and related support activities,49933189821.24265,3230,Manufacturing,-0.10288,0.34642,0.26798,0.46337,0.57301,0.55388,corporate,0.53368,2020
29,Petroleum and coal products,329428097154.64099,3240,Manufacturing,-0.07922,0.35324,0.27706,0.47488,0.57747,0.55941,corporate,0.28997,2020
30,Chemical products,863500092522.49268,3250,Manufacturing,-0.14160,0.33285,0.25099,0.44453,0.56415,0.54352,corporate,0.53708,2020
31,Plastics and rubber products,110331312312.14606,3260,Manufacturing,-0.08553,0.35066,0.27396,0.47181,0.57579,0.55752,corporate,0.47331,2020
32,Nonmetallic mineral products,116582519995.50418,3270,Manufacturing,-0.08664,0.35117,0.27427,0.47127,0.57612,0.55771,corporate,0.36581,2020
33,Primary metals,186378975799.56097,3310,Manufacturing,-0.07111,0.35539,0.28001,0.47883,0.57888,0.56121,corporate,0.43497,2020
34,Fabricated metal products,185026333664.73990,3320,Manufacturing,-0.07672,0.35354,0.27764,0.47610,0.57767,0.55977,corporate,0.46657,2020
